Refined_Formal_Name,Original-QID,Original-Refined_Category,Original-Status/Notes,Second-Query_QID,Second-Query_Label,Second-Query_Description,Second-Query_Logic
Leonardo Loredan,Q250210,Person,[Validation] 威尼斯总督。,Q250210,Leonardo Loredan,"75th Doge of Venice (1436-1521), 1501-1521","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Leonardo Pasqueti,,Person,[Validation] 人物。,,,,No results found
Leonardo Pasquetti,,Person,,,,,No results found
Leonardo Pesaro,,Person,[Validation] 威尼斯贵族。,,,,No results found
Leonardo Valmarana,,Person,[Validation] 贵族。 | 帕拉迪奥的赞助人。,,,,No results found
Leonardo Venier,,Person,[Validation] 威尼斯贵族。,,,,No results found
Leonardo da Vinci,Q762,Person,[Validation] 达芬奇。,Q762,Leonardo da Vinci,Italian Renaissance polymath (1452?1519),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Leone Matina,,Person,[Reconstruction] 17世纪威尼斯（Olivetan）修士、作家/版画相关人物。,Q112504110,Leone Matina,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Leonine City,Q370350,Place,[Validation] 梵蒂冈区域。,Q370350,Leonine City,part of the city of Rome,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Leonora Baroni,Q2625057,Person,[Validation] 歌手/竖琴演奏家。,Q2625057,Leonora Baroni,Italian lutenist and composer,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
"Leopold I, Holy Roman Emperor",Q150494,Person,[Validation] 神圣罗马帝国皇帝。,Q150494,"Leopold I, Holy Roman Emperor","Holy Roman Emperor (1658-1705), King of Hungary and Croatia and King of Bohemia (1640–1705)","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
"Leopold II, Holy Roman Emperor",Q151321,Person,[Disambiguation] 托斯卡纳大公 Leopold I 继位为神圣罗马皇帝 Leopold II。 | [Validation] 同上。,Q151321,"Leopold II, Holy Roman Emperor",Holy Roman Emperor from 1790 to 1792,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Leopold Joseph von Daun,Q93365,Person,[Validation] 奥地利元帅。,Q93365,Leopold Joseph von Daun,Austrian marshal,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Leopoldo de' Medici,Q968920,Person,[Validation] 枢机主教/收藏家。,Q968920,Leopoldo de' Medici,"Italian cardinal, scholar, patron of the arts and Governor of Siena (1617-1675)","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Leto Puliti,Q49186561,Person,[Validation] 历史学家。,Q49186561,Leto Puliti,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Leto turning the Shepherds into Frogs,,Work,[Validation] 绘画主题。,,,,No results found
Liechtenstein (Family),,Group,[Validation] 贵族家族。,,,,No results found
Life of Christ (Series),,Work,[Validation] 绘画/版画系列。,,,,No results found
Lina Livan,,Person,[Validation] 档案学家。,,,,No results found
Lina Montalto,Q109830266,Person,[Validation] 艺术史学家。,Q109830266,Lina Montalto,Italian art historian (1894-1967),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Lione Pascoli,Q1101774,Person,[Validation] 传记作家。,Q1101774,Lione Pascoli,"Italian art historian, art collector, and economist","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Lionel Cust,Q6555603,Person,[Validation] 艺术史学家。,Q6555603,Lionel Cust,British art historian and author (1859-1929),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Lionello Puppi,Q18224381,Person,[Validation] 艺术史学家 (Palladio/Venice)。,Q18224381,Lionello Puppi,Italian academician and politician (1931-2018),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Lita-Rose Betcherman,,Person,[Validation] 作家/历史学家 (Balthasar Gerbier)。,,,,No results found
Liverpool,Q24826,Place,[Validation] 城市。,Q24826,Liverpool,"city in Merseyside, England, United Kingdom","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Livio Mehus,Q1776687,Person,[Validation] 佛罗伦萨画家。,Q1776687,Livio Mehus,"Flemish painter, draughtsman and engraver (1630-1691)","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Livio Odescalchi,Q10319317,Person,[Validation] 罗马贵族/收藏家。,Q11762206,Livio Odescalchi,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Lodovico Furlanetto,Q106498283,Person,"[OCR Fix] ""Furnaletto"" -> ""Furlanetto"" (威尼斯出版商)。 | [Validation] 威尼斯出版商。",Q106498283,Lodovico Furlanetto,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Lodovico Gabrielli,,Person,"[OCR Fix] ""Gabrieli"" -> ""Gabrielli"" (可能)。也有可能是 Lodovico Gabriel。",,,,No results found
Lodovico Grignani,Q55228486,Person,[Validation] 17世纪出版商 (Rome)。,Q55228486,Lodovico Grignani,Italian printer (1586-1651),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Lodovico Ottavio Burnacini,Q3836364,Person,[Validation] 建筑师/设计师 (Vienna)。,Q3836364,Lodovico Burnacini,Italian architect (1636–1707),"Medium Confidence - Score: 81.8 (Sim: 0.82, Cat: Neutral)"
Lodovico Rezzonico,,Person,[Validation] 威尼斯贵族 (Procuratore)。,,,,No results found
Loménie de Brienne (Count),,Person,[Disambiguation] 可能是 Henri-Auguste de Loménie (路易十四时期) 或 Étienne Charles de Loménie de Brienne (18世纪)。倾向于 Henri-Auguste (游记作者)。,,,,No results found
London,,Place,[Validation] 城市。,Q84,London,capital and largest city of England and the United Kingdom,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Lord Byron,Q5679,Person,[Validation] 诗人。,Q5679,Lord Byron,English Romantic poet and lyricist (1788–1824),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Loredana Olivato,Q61480955,Person,[Validation] 艺术史学家。,Q61480955,Loredana Olivato,Italian art historian (1943-),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Lorenzo Cardella,Q15696697,Person,[Validation] 历史学家 (Memorie storiche de' cardinali)。,Q15696697,Lorenzo Cardella,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Lorenzo Costa,Q357807,Person,[Validation] 文艺复兴画家。,Q357807,Lorenzo Costa,Italian painter (1460–1535),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Lorenzo Da Ponte,,Person,[Validation] 剧作家。,Q268166,Lorenzo Da Ponte,"Italian opera librettist, poet and Roman Catholic priest (1749–1838)","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Lorenzo Magalotti,Q327913,Person,[Validation] 外交官/科学家。,Q590501,Lorenzo Magalotti,"Italian philosopher, poet and diplomat (1637-1712)","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Lorenzo Masini,,Person,[Validation] 佛罗伦萨贵族。,Q2524260,Lorenzo da Firenze,Italian composer,"Medium Confidence - Score: 68.8 (Sim: 0.69, Cat: Neutral)"
Lorenzo Mattielli,Q1455126,Person,[Validation] 维琴察雕塑家 (Vienna)。,Q1455126,Lorenzo Mattielli,Italian artist (1687-1748),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Lorenzo Onofrio Colonna,Q3837032,Person,[Validation] 罗马亲王。,Q3837032,Lorenzo Onofrio Colonna,Italian noble,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Lorenzo Pasinelli,Q1645684,Person,[Validation] 博洛尼亚画家。,Q1645684,Lorenzo Pasinelli,Italian painter (1629-1700),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Lorenzo Raggi,Q18340689,Person,[Validation] 枢机主教。,Q57232940,Lorenzo Raggi,Italian geneticist,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Lorenzo Rossi,,Person,[Validation] 人物。,Q102389804,Lorenzo Rossi,Ph.D. University of Southern California 2011,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Lorenzo de' Medici (the Magnificent),,Person,[Disambiguation] 伟大的洛伦佐。,,,,No results found
Lorenzo del Rosso,,Person,[Validation] 建筑师。,,,,No results found
Loreto,Q124110,Place,[Validation] 地点 (Santa Casa)。,Q124110,Loreto,"hill town and comune of the Italian province of Ancona, in the Marche","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Lot and his Daughters,,Work,[Validation] 绘画主题。,Q29951062,Lot and his daughters,"painting by Lucas Cranach the Elder (Staatsgalerie im Schloss Johannisburg, Aschaffenburg)","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Lothar Franz von Schönborn,,Person,"[OCR Fix] ""?"" -> ""ö""。美因茨选帝侯。 | [OCR Fix] 美因茨选帝侯。",Q71715,Lothair Francis of Schönborn,German noble (1655-1729); Archbishop of Mainz from 1695,"High Confidence - Score: 105.2 (Sim: 0.85, Cat: Match)"
Louis Batiffol,Q18011834,Person,[Validation] 历史学家。,Q18011834,Louis Batiffol,French librarian and historian,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Louis Bordet,,Person,[Validation] 旅行家。,,,,No results found
Louis Demonts,,Person,[Validation] 博物馆策展人。,Q95757199,Louis Demonts,French art historian and curator,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Louis Dorigny,,Person,[Validation] 法国画家 (主要在意大利)。,Q2308644,Ludovico Dorigny,French painter and engraver (1654-1742),"High Confidence - Score: 95.9 (Sim: 0.76, Cat: Match)"
Louis Dorigny (Ludovico),,Person,[Disambiguation] 法国画家 (在意大利)。,,,,No results found
Louis Hautecœur,,Person,[Validation] 艺术史学家。,Q3262148,Louis Hautecoeur,French art historian (1884-1973),"High Confidence - Score: 90.3 (Sim: 0.90, Cat: Neutral)"
Louis Le Nain,Q736207,Person,[Validation] 法国画家。,Q736207,Louis Le Nain,French painter (1593-1648),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Louis Le Vau,Q310530,Person,[Validation] 法国建筑师。,Q310530,Louis Le Vau,French architect (1613–1670),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
"Louis Phélypeaux, marquis de La Vrillière",,Person,[Category Fix] 原文误标为 Place。法国国务大臣，著名收藏家。 | [Validation] 法国政治家/收藏家。 | [Validation] 法国政治家。,Q3262230,"Louis Phélypeaux, marquis de La Vrillière",French politician (1672-1725),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Louis Ponnelle,Q55771684,Person,[Validation] 历史学家。,Q55771684,Louis Ponnelle,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Louis Richeome,Q1871941,Person,[Validation] 耶稣会作家 (La Peinture spirituelle)。,Q1871941,Louis Richeome,French philosopher,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Louis Richême,,Person,"[OCR Fix] ""?"" -> ""ê"" (推测)。法国版画家/艺术家。",,,,No results found
Louis XIII,Q737533,Person,[Validation] 法国国王。,Q1323065,Louis XIII style,architectural style,"Medium Confidence - Score: 76.9 (Sim: 0.77, Cat: Neutral)"
Louis XIV,,Person,[Validation] 法国国王。,Q5502515,Louis XIV,1854 Océan-class ship of the line,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Louis XV,Q7738,Person,[Validation] 法国国王。,Q130418514,Louis XV,naval vessel,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Louis de Noailles,Q1349502,Person,[Validation] 法国元帅。,Q1349502,Louis de Noailles,Marshal of France (1713-1793),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Louisa Ulrika of Prussia,,Person,[Validation] 瑞典王后。,Q234251,Louisa Ulrika of Prussia,Swedish queen (1720-1782),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Louise Rice,Q111387765,Person,[Validation] 艺术史学家。,Q134318682,Louise Rice,glass artist,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Louvre,,Place,[Validation] 卢浮宫。,Q908517,Louvres,"commune in Val-d'Oise, France","High Confidence - Score: 92.3 (Sim: 0.92, Cat: Neutral)"
Louvre Museum,Q19675,Place,[Validation] 卢浮宫。,Q19675,Louvre Museum,"art and archeology museum in Paris, France","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Low Countries,Q476033,Place,[Validation] 低地国家。,Q476033,Low Countries,historical coastal landscape in north western Europe,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Luca Bartolotti,,Person,[Validation] 人物。,,,,No results found
Luca Cambiaso,Q712512,Person,[Validation] 热那亚画家。,Q712512,Luca Cambiaso,Italian painter (1527-1585),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Luca Carlevarijs,Q2704669,Person,[Validation] 维杜塔画家。,Q2704669,Luca Carlevarijs,Italian baroque painter (1663-1730),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Luca Giordano,Q332494,Person,[Validation] 那不勒斯画家。,Q332494,Luca Giordano,Italian Baroque painter (1634–1705),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Luca Ombrosi,,Person,[Validation] 18世纪佛罗伦萨作家 (Life of Gian Gastone)。,,,,No results found
Lucas von Hildebrandt,,Person,[Reconstruction] 奥地利建筑师。,Q84507,Johann Lukas von Hildebrandt,Austrian architect (1668-1745),"Medium Confidence - Score: 81.6 (Sim: 0.82, Cat: Neutral)"
Lucca,,Place,[Validation] 城市。,Q13373,Lucca,"city and comune in Tuscany, Central Italy","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Lucchese Community,,Group,[Category Fix] 原文误标为 Place。,,,,No results found
Lucien Marcheix,,Person,[Validation] 历史学家 (19世纪)。,,,,No results found
Lucius Annaeus Florus,Q316483,Person,[Validation] 罗马历史学家。,Q316483,Lucius Annaeus Florus,2nd century Roman historian and poet,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Lucretius,,Person,卢克莱修。,Q47154,Lucretius,1st-century BC Roman poet and philosopher,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Ludovico Antonio Muratori,Q471529,Person,[Validation] 历史学家/学者。 | 意大利历史学家。,Q471529,Ludovico Antonio Muratori,"Italian priest, writer, librarian, historian and diplomat","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Ludovico Ariosto,Q48900,Person,[Disambiguation] 诗人 (疯狂的奥兰多)。 | [Validation] 诗人 (Orlando Furioso)。,Q48900,Ludovico Ariosto,Italian poet (1474–1533),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Ludovico Carracci,Q380553,Person,[Validation] 博洛尼亚画家。,Q380553,Ludovico Carracci,Bolognese painter of the Baroque (1555-1619),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Ludovico David,Q6698987,Person,[Validation] 卢加诺/罗马画家/作家。,Q6698987,Ludovico David,Swiss artist (1648-1739),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Ludovico Gimignani,Q3839112,Person,[Reconstruction] 罗马画家。 | [Validation] 罗马画家。,Q3839112,Ludovico Gimignani,Italian painter (1643-1697),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Ludovico Ludovisi,Q707750,Person,[Validation] 枢机主教/收藏家。 | [Validation] 枢机主教。,Q707750,Ludovico Ludovisi,Catholic cardinal (1595-1632),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Ludovico Manin,,Person,[Disambiguation] 威尼斯末代总督。,Q458677,Ludovico Manin,"120th, and the last, Doge of Venice","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Ludwig Burchard,Q1874264,Person,[Validation] 艺术史学家 (Rubens)。,Q1874264,Ludwig Burchard,German art historian (1866-1960),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Ludwig Mies van der Rohe,Q41508,Person,[Validation] 现代建筑师。,Q41508,Ludwig Mies van der Rohe,German architect (1886–1969),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Ludwig Schudt,Q19754022,Person,[Validation] 罗马指南书专家 (Bibliotheca Hertziana)。,Q19754022,Ludwig Schudt,"born 1893; born in Friedberg (Hesse), Germany; Librarian of the Bibliotheca Hertziana.","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Ludwig von Pastor,Q64162,Person,[Validation] 历史学家 (History of the Popes)。,Q64162,Ludwig von Pastor,German historian and Austrian diplomat (1854-1928),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Luigi Adami,,Person,[Validation] 威尼斯/博洛尼亚人物 (可能是收藏家或画家)。,Q63929631,Luigi Adami,Italian politician (1834-1913),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Luigi Boccherini,Q189766,Person,[Validation] 作曲家。,Q189766,Luigi Boccherini,Italian composer and cellist (1743–1805),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Luigi Borsari,Q28747741,Person,[Validation] 考古学家/Topographer。,Q28747741,Luigi Borsari,Italian lawyer (1804-1887),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Luigi Callari,Q123500942,Person,[Validation] 艺术写作者 (Roman palaces)。,Q123500942,Luigi Callari,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Luigi Celotti (Abate Celotti),,Person,[Validation] 威尼斯书商/手稿收藏家。,,,,No results found
Luigi Crespi,Q3266428,Person,[Validation] 博洛尼亚画家/传记作者 (Canonico Crespi)。,Q3266428,Luigi Crespi,Italian painter (1708-1779),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Luigi Ferrari,,Person,[Validation] 威尼斯图书馆员/目录学家。,Q113562194,Luigi Ferrari,Italian painter (1828–1908),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Luigi Garzi,Q2442674,Person,[Validation] 罗马画家。,Q2442674,Luigi Garzi,Italian painter (1638-1721),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Luigi Huetter,Q93253213,Person,[Validation] 罗马历史学家 (Iscrizioni)。,Q93253213,Luigi Huetter,Italian journalist and writer (1884-1969),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Luigi Melchiori,Q94259803,Person,[Validation] 威尼斯历史人物? 需确认。,Q94259803,Luigi Melchiori,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Luigi Passerini Orsini de' Rilli,Q17490306,Person,[Validation] 历史学家/家谱学家。,Q17490306,Luigi Passerini Orsini de' Rilli,Italian politician,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Luigi Pavini,Q124642279,Person,[Validation] 威尼斯出版商。,Q124642279,Luigi Pavini,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Luigi Pellegrini Scaramuccia,Q3266512,Person,[Validation] 画家/传记作家 (Le finezze de' pennelli)。,Q3266512,Luigi Pellegrini Scaramuccia,Italian painter (1616-1680),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Luigi Pozzi,,Person,[Validation] 建筑师。,Q107031105,Luigi Pozzi,Jesuit,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Luigi Quaini,Q1645680,Person,[Validation] 博洛尼亚画家。,Q1645680,Luigi Quaini,Italian painter (1643-1717),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Luigi Salerno,Q6700132,Person,[Validation] 艺术史学家 (Roman Baroque)。,Q93261247,Luigi Salerno,Italian Dominican friar (1927-2012),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Luigi Scaramuccia,,Person,佩鲁贾画家/传记作家。,Q3266512,Luigi Pellegrini Scaramuccia,Italian painter (1616-1680),"High Confidence - Score: 95.6 (Sim: 0.76, Cat: Match)"
Luigi Spezzaferro,Q19754023,Person,[Validation] 艺术史学家 (Caravaggio)。,Q19754023,Luigi Spezzaferro,Italian art historian,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Luigi Strozzi,Q3840187,Person,[Validation] 佛罗伦萨参议员/收藏家。,Q3840187,Luigi Strozzi,Italian politician,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Luigi Teodoli,,Person,[Validation] 建筑师? 或客户。,,,,No results found
Luigi de' Rossi,,Person,红衣主教（拉斐尔画作中人物）。,Q733662,Luigi de' Rossi,Italian cardinal,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Luxembourg Palace,,Place,[Validation] 巴黎宫殿 (Rubens Medici Cycle 原址)。,Q329852,Luxembourg Palace,seat of the French Senate,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
M. de Bordeaux,,Person,[Validation] 人物 (法国外交官?)。,,,,No results found
Macerata,,Organization,[Category Fix] 马切拉塔市政府。 | [Validation] 城市。,Q13135,Macerata,Italian comune,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Madeleine Laurain-Portemer,Q3275671,Person,[Validation] 历史学家 (Mazarin专家)。,Q3275671,Madeleine Laurain-Portemer,French librarian (1917-1996),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Madonna,,Person (Religious),[Category Fix] 原文误标为 Man-Made Object。圣母玛利亚。,Q1744,Madonna,"American singer, songwriter, and actress (born 1958)","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Madonna and Child,,Work,[Validation] 绘画主题。,Q106868029,Madonna and Child,painting by Benozzo Gozzoli (Harvard),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Madonna and Child with St. Elizabeth...,,Work,[Validation] 绘画主题。,,,,No results found
Madonna and Child with the Infant Saint...,,Work,[Validation] 绘画主题。,,,,No results found
Madonna dell'Orto,Q861436,Place,[Validation] 威尼斯教堂。,Q861436,Madonna dell'Orto,"church in Venice, Italy","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Madonna of the Baldacchino,Q3842604,Work,[Validation] 拉斐尔画作。,Q3842604,Madonna of the Baldacchino,painting by Raphael,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Madonna of the Harpies,Q1235695,Work,[Validation] 安德烈亚·德尔·萨托画作。,Q1235695,Madonna of the Harpies,painting by Andrea del Sarto in the Uffizi,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Madonna of the Rosary with Saints...,,Work,[Validation] 绘画主题。,,,,No results found
"Madonna with Saints Agnes, Catherine and Rosa",Q79516336,Work,[Validation] 绘画主题。,Q79516336,"Madonna with Saints Agnes, Catherine and Rosa","print by Giovanni Domenico Tiepolo (Italian, 1727-1804) (1923.234)","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Madonna with the Long Neck,Q867403,Work,[Validation] 帕尔米贾尼诺画作。,Q867403,Madonna with the Long Neck,painting by Parmigianino,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Madrid,,Place,[Validation] 城市。,Q2807,Madrid,capital of Spain,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Maecenas,,Person,[Category Fix] 原文误标为 Man-Made Object。古罗马赞助人。,Q50824548,Maecenas,ancient Roman nomen,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Maecenas Presenting the Liberal Arts to Emperor Augustus,Q12123145,Work,[Validation] 绘画主题 (Tiepolo)。,Q12123145,Maecenas Presenting the Liberal Arts to Emperor Augustus,painting by Giovanni Battista Tiepolo,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Maffeo Barberini (Prince of Palestrina),,Person,[Disambiguation] 塔德奥之子。,,,,No results found
Maffeo Pinelli,Q56006855,Person,[Validation] 威尼斯书商/收藏家。,Q56006855,Maffeo Pinelli,Venetian printer-bookseller (1735-1785),"Medium Confidence - Score: 60.0 (Sim: 1.00, Cat: Conflict)"
Magnus von Platen,Q6051457,Person,[Validation] 瑞典文学史学家 (Christina专家)。,Q6051457,Magnus von Platen,Swedish translator,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Malcolm Campbell,,Person,[Validation] 艺术史学家 (Pietro da Cortona)。,Q621028,Malcolm Campbell,English racing driver and speed record holder (1885–1948),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Malplaquet,Q24021436,Place,[Validation] 战役地点。,Q24021436,Malplaquetstra?e,"street in Berlin-Wedding, Germany","Medium Confidence - Score: 76.9 (Sim: 0.77, Cat: Neutral)"
Malta,Q233,Place,[Validation] 马耳他。,Q233,Malta,country in Southern Europe situated on an archipelago in the Mediterranean Sea,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Mamertine Prison,Q1035634,Place,[Validation] 罗马古迹。,Q1035634,Mamertine Prison,prison,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Manin (Family),,Group,[Validation] 威尼斯家族。,,,,No results found
Manlio Dazzi,Q21196209,Person,[Validation] 诗人/图书馆员 (Venice)。,Q21196209,Manlio Dazzi,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Mannerism,,Concept,[Validation] 风格主义。,Q131808,Mannerism,style of European art,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Manuel de Acevedo y Zúñiga (Count of Monterrey),,Person,"[OCR Fix] ""?"" -> ""ñ""。那不勒斯总督。",,,,No results found
Marcantonio Barbaro,Q711845,Person,[Validation] 威尼斯贵族/Palladio赞助人。,Q711845,Marcantonio Barbaro,Italian diplomat of the Republic of Venice,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Marcantonio Chiarini,,Person,[Reconstruction] 博洛尼亚画家 (Quadraturista)。 | [Validation] 博洛尼亚画家 (Quadraturista)。,Q3288556,Marcantonio Chiarini,Italian painter (1652-1730),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Marcantonio Colonna,,Person,"[Validation] 贵族 (可能是 Marcantonio II, 勒班陀战役英雄，或后代)。",Q347242,Marcantonio Colonna,Italian cardinal (1724-1793),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Marcantonio Franceschini,Q2543592,Person,[Category Fix] 原文误标为 Place。博洛尼亚画家。,Q2543592,Marcantonio Franceschini,Italian painter (1648–1729),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Marcantonio II Colonna,Q878288,Person,[Validation] 帕利亚诺亲王/勒班陀战役英雄。,Q878288,Marcantonio II Colonna,"Italian condottiero, politician, patron and admiral","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Marcel Roethlisberger,Q6756202,Person,[Validation] 艺术史学家 (Claude Lorrain专家)。,Q6756202,Marcel Roethlisberger,Swiss art historian (1929-2020),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Marcello Del Piazzo,Q118874221,Person,[Validation] 档案学家。,Q118874221,Marcello Del Piazzo,Italian archivist,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Marcello Malpighi,Q232583,Person,[Validation] 医生/生物学家。,Q232583,Marcello Malpighi,Italian physician (1628-1694),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Marcello Oretti,Q56006940,Person,[Validation] 博洛尼亚艺术传记作家。,Q56006940,Marcello Oretti,Italian author,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
