Refined_Formal_Name,QID,Refined_Category,Status/Notes
John Breval,,Person,[Reconstruction] 英国作家/旅行家。
John Bryson,R110,Person,[Validation] 收藏家 (Ashmolean bequest)。
John Buonarotti Papworth,Q6223865,Person,[Validation] 英国建筑师。
John Byng (Admiral),,Person,[Disambiguation] 英国海军上将。
"John Cecil, 5th Earl of Exeter",Q15989977,Person,[Disambiguation] 伯利勋爵/Grand Tour 旅行者。 | [Validation] 伯利勋爵/大旅行者。
"John Cecil, 6th Earl of Exeter",Q6225597,Person,[Validation] 伯利勋爵。
John Charlton,Q2657457,Person,[Validation] 艺术史学家/Banquetting House专家。
"John Churchill, 1st Duke of Marlborough",Q153803,Person,[Validation] 马尔博罗公爵。
John Closterman,Q6226403,Person,[Validation] 肖像画家。
John Conduitt,Q6226846,Person,[Validation] 牛顿的继侄女婿/收藏家。
John Constable,Q159297,Person,[Validation] 英国风景画家 (19世纪)。
John Dryden,Q213355,Person,[Validation] 诗人。
John Durant Breval,Q6230521,Person,[Validation] 旅行作家。
John Evelyn,Q342712,Person,[Validation] 日记作者。
John Finch,Q6233132,Person,[Validation] 英国驻君士坦丁堡大使/Padua校友。
John Fleming,Q6233420,Person,[Validation] 艺术史学家。
John Gay,Q321660,Person,[Validation] 诗人/剧作家。
John Gilmartin,,Person,[Validation] 艺术史学家 (Batoni)。
"John Hervey, 2nd Baron Hervey",Q1006241,Person,[Disambiguation] 赫维勋爵 (回忆录作者)。 | [Validation] 赫维勋爵。
John III Sobieski,,Person,[Validation] 波兰国王。
John Law,Q312694,Person,[Validation] 经济学家 (密西西比泡沫)。
John Locke,,Person,[Validation] 哲学家。
John Manners (Marquess of Granby / Duke of Rutland),,Person,[Ambiguity] 需区分具体哪位。
John Milton,Q79759,Person,[Validation] 诗人。
John Murray,,Person,可能是著名的出版商 John Murray 家族成员（出版旅游指南）。
John Nicoll,Q4731153,Person,[Validation] 可能是收藏家或校。
John Nordiall,,Person,[Verify] 罕见名，可能是误拼或小众人物。
John Northall,Q18009154,Person,[Validation] 旅行作家 (Travels through Italy)。
John Pope-Hennessy,,Person,[Validation] 著名艺术史学家。
John Ripley Freeman,Q6254986,Person,[Validation] 工程师? 可能误入或同名收藏家。
John Russell,Q335406,Person,[Ambiguity] 可能是画家 John Russell (RA) 或 Bedford 公爵。
"John Russell, 4th Duke of Bedford",,Person,[Disambiguation] 英国贵族/赞助人。
"John Sheffield, 1st Duke of Buckingham and Normanby",Q2736244,Person,[Full Name] 诗人/政治家。 | [Validation] 政治家/作家。
John Skippe,,Person,[Validation] 业余艺术家/收藏家 (Chiaroscuro woodcuts)。 | 英国业余艺术家/鉴赏家。
John Strange,Q6259378,Person,[Validation] 英国驻威尼斯居民/收藏家。
John Sweetman,,Person,[Validation] 艺术史学家 (Orientalism)。
John Tillotson,Q676049,Person,[Validation] 坎特伯雷大主教。
John Udny,,Person,"[Dialect/OCR] 威尼斯方言 ""Zuane"" = Giovanni = John; ""Udni"" = Udny (Consul John Udny)。 | [Spelling Fix] 英国驻威尼斯领事 (Consul Udny)。 | [Validation] 英国驻威尼斯/里窝那领事 (收藏家)。"
John Vanbrugh,Q333398,Person,[Validation] 建筑师/剧作家。
John Walker,Q324571,Person,[Validation] 艺术史学家/策展人 (National Gallery of Art)。
John Webster,Q225904,Person,[Validation] 剧作家。
John Woodward,Q706904,Person,[Validation] 地质学家/收藏家 (Gems)。
Joint caricature of Simonelli and Mola,A355,Work,[Validation] 讽刺画。
Josef Grisar,Q59531270,Person,[Validation] 耶稣会历史学家 (Papal finance)。
Joseph Addison,Q206384,Person,[Category Fix] 误标为 Work (E22)。英国作家/政治家。 | [Validation] 作家/政治家。
Joseph Perrot,Q17627216,Person,[Validation] 画家/人物。
Joseph Smith (Consul),,Person,[Disambiguation] 英国驻威尼斯领事/收藏家。
Joseph Sold by his Brothers,A126,Work,[Validation] 绘画主题。
Joseph Valfrey,R112,Person,[Check Original] 可能是 Joseph Valfrey 或 Valfré? 待定。
Joseph Wagner,Q11728479,Person,[Validation] 威尼斯版画家 (Wagner workshop)。
Joseph and Potiphar's Wife,A125,Work,[Validation] 绘画主题。
Joseph de Guibert,Q60028645,Person,[Validation] 耶稣会历史学家 (Jesuit spirituality)。
Joshua Reynolds,Q194402,Person,[Validation] 英国画家。
Juan de Pareja,Q1352058,Person,[Validation] 西班牙画家 (Velázquez助手)。
"Juan de Tassis y Peralta, 2nd Count of Villamediana",,Person,[Full Name] 西班牙诗人/外交官。
Juan van der Hamen,Q1710710,Person,[Validation] 西班牙静物画家。
Judith,Q26454627,Person,[Validation] 圣经人物。
Judith shows the people the head of Holofernes,Q27980482,Work,[Validation] 绘画主题。
Judith with the Head of Holofernes,A340,Work,[Validation] 绘画主题。
Jules Mazarin,Q166056,Person,马萨林枢机。 | 马萨林枢机的意大利原名。
Julian (Emperor),,Person,[Disambiguation] 尤利安皇帝。
Julius II,,Person,[Disambiguation] 教皇尤利乌斯二世。
Julius von Schlosser,Q84564,Person,[Validation] 艺术史学家 (Vienna School)。
Juno,Q125046,Person (Myth),[Validation] 女神。
"Juno, Goddess of Air",A438,Work/Person,[Validation] 寓意画主题。
Jupiter,Q34201,Person (Myth),[Validation] 主神。
Jupiter among the Corybantes,A323,Work,[Validation] 绘画主题。
Jupiter and Antiope,Q9372007,Work,[Validation] 绘画主题。
Jupiter and Io with Cupid and Attendant Putti,Q119637439,Work,[Validation] 绘画主题。
Jupiter giving Suck,A127,Work,[Validation] 绘画主题 (可能是 Jupiter Suckled by the Goat Amalthea 的误读或变体)。
Jupiter handed over by Cybele to the Corybantes,,Work,[Validation] 绘画主题。
Jupiter sending down his Thunderbolts,,Work,[Validation] 绘画主题 (Giulio Romano等)。
Jusepe de Ribera,Q297838,Person,[Validation] 西班牙画家。 | 别名 Spagnoletto。
Justice,A129,Person (Allegory),[Category Fix] 原文误标为 Man-Made Object。正义女神。
Justice Embracing Peace,A414,Work,[Validation] 绘画主题。
Justin (historian),,Person,罗马历史学家查士丁。
Justine Wynne,,Person,"[Context] 著名的 ""Comtesse des Ursins-Rosenberg"" (Justine Wynne)，威尼斯社交名流。"
Justinus (Historian) / Justin Martyr,,Person,[Ambiguity] 可能是历史学家查士丁或殉道者查士丁。
Justus of Ghent,,Person,[Validation] 同上。
Justus of Ghent (Joos van Wassenhove),,Person,[Validation] 早期尼德兰画家。
Jérôme Lalande,,Person,"[OCR Fix] ""?"" -> ""ô""。天文学家/旅行作家。"
Jérôme Richard,,Person,"[OCR Fix] ""?"" -> ""ô""。旅行作家 (Abbé Richard)。"
Jörg Garms,,Person,"[OCR Fix] ""?"" -> ""ö""。艺术史学家。"
K. T. Parker,,Person,[Validation] 艺术史学家/策展人 (Ashmolean)。
Kaisersaal (Würzburg),,Place,[Validation] 维尔茨堡宫帝王厅 (Tiepolo壁画)。
Karel van Mander,,Person,[Validation] 画家/传记作家 (Schilder-boeck)。
Karel van Mander III,Q3428643,Person,[Validation] 荷兰画家/诗人。
Karl Ludwig von Pöllnitz,,Person,"[OCR Fix] ""?"" -> ""ö""。回忆录作者。 | [OCR Fix] ""P?llnitz"" -> ""Pöllnitz""。普鲁士回忆录作家。"
Karl Philipp von Greiffenclau,,Person,[Validation] 维尔茨堡采邑主教 (Tiepolo赞助人)。 | [Validation] 维尔茨堡采邑主教。
Karolina Lanckorońska,Q468466,Person,[Validation] 艺术史学家/收藏家。
Kassel,Q2865,Place,[Validation] 城市。
Kate Steinitz,Q6567261,Person,[Validation] 达芬奇学者/艺术家。
Katherine Tofts,,Person,英国女高音歌唱家，居于威尼斯。
Keller Peninsula,Q2604876,Place,[Validation] 地名。
Kenneth Donahue,Q19753997,Person,[Validation] 艺术史学家 (LACMA馆长)。
Kimbolton Castle,,Place,[Validation] 曼切斯特公爵府邸 (Pellegrini壁画)。
King George Island,Q859440,Place,[Validation] 岛屿 (南极)。
King Midas,A130,Person (Myth),[Category Fix] 原文误标为 Man-Made Object。
King Solomon Bathing,A131,Work,"[Validation] 绘画主题 (可能指 Bathsheba?) 需确认。Solomon usually doesn't bathe in art. Maybe ""Bathsheba bathing""? or ""Susanna""?"
King's College (Cambridge),,Place,[Validation] 剑桥国王学院。
King's College Library,,Place,[Validation] 图书馆。
Klaus Lankheit,Q1119207,Person,[Validation] 艺术史学家 (Baroque sculpture)。
Klára Garas,Q1008260,Person,[Validation] 匈牙利艺术史学家 (Maulbertsch/Baroque)。
Knight of the Golden Spur,,Group/Title,[Category Fix] 误标为 Work。爵位。
Kunsthistorisches Museum,Q95569,Place,[Validation] 维也纳艺术史博物馆。
Kunstsammlungen,G75,Place/Concept,"[Validation] 艺术收藏 (通常指 Weimar, Dresden 等地的机构)。"
L'Inondazione del Tevere,A394,Work,[Validation] 画作标题。
L'Osservatore Veneto,,Work,[Category Fix] 报刊名（Gozzi 等人创办）。
"La Beata Vergine in Egitto, e S. Giuseppe",A133,Work,[Validation] 绘画主题。
La Burla del Piovano Arlotto,A326,Work,[Validation] 画作标题 (Volterrano/Giovanni da San Giovanni)。
La Chiesa di Gesù Cristo vendicata...,,Work,[Validation] 书籍标题。
La Fiera dell'Impruneta,,Work,[Validation] Callot 版画。
La Galleria di Minerva,,Work,"[OCR Fix] ""Minervat VI"" -> ""Minerva, t. VI"" (期刊/丛书)。"
La Notte (Correggio),,Work,[Validation] 柯雷乔画作 (The Nativity)。
La Storta,Q1131028,Place,[Validation] 罗马附近地点 (Ignatius vision)。
La rissa all'Ambasciata di Spagna,A136,Work,[Validation] 绘画主题 (The Brawl at the Spanish Embassy)。
Labia (Family),,Group,[Validation] 威尼斯家族 (Palazzo Labia)。
Labia Collection,,Organization/Group,[Category Fix] 原文误标为 Man-Made Object。
Lady Mary Wortley Montagu,,Person,英国贵族、作家，曾游历东方。
Lake Bracciano,Q896551,Place,[Validation] 湖泊。
Lamport Hall,Q6482482,Place,[Category Fix] 原文误标为 Person。Isham家族庄园。
Landscape with Cephalus and Procris,,Work,[Validation] 克劳德·洛兰画作。
Landscape with Man fleeing from Serpent,A137,Work,[Validation] 普桑画作。
Landscape with Psyche Outside the Palace of Cupid,Q19574562,Work,[Validation] 克劳德·洛兰画作 (The Enchanted Castle)。
Landscape with Pyramus and Thisbe,,Work,[Category Fix] 普桑的画作。
Landscape with Rural Dance,A139,Work,[Validation] 克劳德·洛兰画作。
Landscape with Woman washing her Feet,A140,Work,[Validation] 普桑画作 (Phocion)。
Landscape with a Man killed by a Snake,,Work,[Validation] 普桑画作。
Landscape with figures and animals,A391,Work,[Validation] 通用标题。
Landscape with the Father of Psyche Sacrificing...,,Work,[Validation] 克劳德·洛兰画作。
Landscape with the Flight into Egypt,Q75135162,Work,[Validation] 绘画主题 (Carracci/Lorrain等)。
Landscape with the Port of Santa Marinella,Q104443853,Work,[Validation] 克劳德·洛兰画作。
Lateran,Q468405,Place,[Validation] 拉特朗区域。
Lateran Baptistery,Q2519438,Place,[Validation] 洗礼堂。
Lateran Palace,Q848394,Place,[Validation] 宫殿。
Laurent Cars,Q3029984,Person,"[OCR Fix] ""Laurence"" -> ""Laurent""。法国版画家。 | [Validation] 法国版画家。"
Laurent de La Hyre,Q59894,Person,[Validation] 法国画家。
Lauro,Q55047,Place,[Validation] 地点。
Lazzaro Baldi,Q3220072,Person,[Validation] 罗马画家。
Lazzaro Rivera,R114,Person,[Validation] 人物。
Lazzaro Riviera,,Person,18世纪作家，与 Felice Boscarati 有关。
Le Arti che vanno per via nella città di Venezia,,Work,[Validation] Zompini 版画集 (Venetian Cries)。
Le Fabbriche e Vedute di Venetia,A392,Work,[Validation] Carlevarijs 版画集。
Leandro Ozzola,Q97063798,Person,[Validation] 艺术史学家。
Leda,A141,Person (Myth),[Category Fix] 原文误标为 Man-Made Object。
Leda and the Swan,Q2308934,Work,[Validation] 绘画主题。
Leipzig,Q2079,Place,[Validation] 城市。
Lelio Guidiccioni,Q55998317,Person,[Validation] 诗人/评论家。
Leo I (Pope),,Person,[Validation] 教皇利奥一世。
Leo X,Q49237,Person,[Validation] 教皇利奥十世。
Leo van Puyvelde,Q19997555,Person,[Validation] 比利时艺术史学家。
Leonaert Bramer,Q979381,Person,[Disambiguation] 荷兰画家。 | [Validation] 荷兰画家。
Leonardo Loredan,Q250210,Person,[Validation] 威尼斯总督。
Leonardo Pasqueti,R115,Person,[Validation] 人物。
Leonardo Pasquetti,,Person,
Leonardo Pesaro,R116,Person,[Validation] 威尼斯贵族。
Leonardo Valmarana,,Person,[Validation] 贵族。 | 帕拉迪奥的赞助人。
Leonardo Venier,R117,Person,[Validation] 威尼斯贵族。
Leonardo da Vinci,Q762,Person,[Validation] 达芬奇。
Leone Matina,,Person,[Reconstruction] 17世纪威尼斯（Olivetan）修士、作家/版画相关人物。
Leonine City,Q370350,Place,[Validation] 梵蒂冈区域。
Leonora Baroni,Q2625057,Person,[Validation] 歌手/竖琴演奏家。
"Leopold I, Holy Roman Emperor",Q150494,Person,[Validation] 神圣罗马帝国皇帝。
"Leopold II, Holy Roman Emperor",Q151321,Person,[Disambiguation] 托斯卡纳大公 Leopold I 继位为神圣罗马皇帝 Leopold II。 | [Validation] 同上。
Leopold Joseph von Daun,Q93365,Person,[Validation] 奥地利元帅。
Leopoldo de' Medici,Q968920,Person,[Validation] 枢机主教/收藏家。
Leto Puliti,Q49186561,Person,[Validation] 历史学家。
Leto turning the Shepherds into Frogs,A318,Work,[Validation] 绘画主题。
Liechtenstein (Family),,Group,[Validation] 贵族家族。
Life of Christ (Series),,Work,[Validation] 绘画/版画系列。
Lina Livan,R118,Person,[Validation] 档案学家。
Lina Montalto,Q109830266,Person,[Validation] 艺术史学家。
Lione Pascoli,Q1101774,Person,[Validation] 传记作家。
Lionel Cust,Q6555603,Person,[Validation] 艺术史学家。
Lionello Puppi,Q18224381,Person,[Validation] 艺术史学家 (Palladio/Venice)。
Lita-Rose Betcherman,R119,Person,[Validation] 作家/历史学家 (Balthasar Gerbier)。
Liverpool,Q24826,Place,[Validation] 城市。
Livio Mehus,Q1776687,Person,[Validation] 佛罗伦萨画家。
Livio Odescalchi,Q10319317,Person,[Validation] 罗马贵族/收藏家。
Lodovico Furlanetto,Q106498283,Person,"[OCR Fix] ""Furnaletto"" -> ""Furlanetto"" (威尼斯出版商)。 | [Validation] 威尼斯出版商。"
Lodovico Gabrielli,,Person,"[OCR Fix] ""Gabrieli"" -> ""Gabrielli"" (可能)。也有可能是 Lodovico Gabriel。"
Lodovico Grignani,Q55228486,Person,[Validation] 17世纪出版商 (Rome)。
Lodovico Ottavio Burnacini,Q3836364,Person,[Validation] 建筑师/设计师 (Vienna)。
Lodovico Rezzonico,R121,Person,[Validation] 威尼斯贵族 (Procuratore)。
Loménie de Brienne (Count),,Person,[Disambiguation] 可能是 Henri-Auguste de Loménie (路易十四时期) 或 Étienne Charles de Loménie de Brienne (18世纪)。倾向于 Henri-Auguste (游记作者)。
London,,Place,[Validation] 城市。
Lord Byron,Q5679,Person,[Validation] 诗人。
Loredana Olivato,Q61480955,Person,[Validation] 艺术史学家。
Lorenzo Cardella,Q15696697,Person,[Validation] 历史学家 (Memorie storiche de' cardinali)。
Lorenzo Costa,Q357807,Person,[Validation] 文艺复兴画家。
Lorenzo Da Ponte,,Person,[Validation] 剧作家。
Lorenzo Magalotti,Q327913,Person,[Validation] 外交官/科学家。
Lorenzo Masini,R123,Person,[Validation] 佛罗伦萨贵族。
Lorenzo Mattielli,Q1455126,Person,[Validation] 维琴察雕塑家 (Vienna)。
Lorenzo Onofrio Colonna,Q3837032,Person,[Validation] 罗马亲王。
Lorenzo Pasinelli,Q1645684,Person,[Validation] 博洛尼亚画家。
Lorenzo Raggi,Q18340689,Person,[Validation] 枢机主教。
Lorenzo Rossi,R124,Person,[Validation] 人物。
Lorenzo de' Medici (the Magnificent),,Person,[Disambiguation] 伟大的洛伦佐。
Lorenzo del Rosso,R122,Person,[Validation] 建筑师。
Loreto,Q124110,Place,[Validation] 地点 (Santa Casa)。
Lot and his Daughters,A338,Work,[Validation] 绘画主题。
Lothar Franz von Schönborn,,Person,"[OCR Fix] ""?"" -> ""ö""。美因茨选帝侯。 | [OCR Fix] 美因茨选帝侯。"
Louis Batiffol,Q18011834,Person,[Validation] 历史学家。
Louis Bordet,R125,Person,[Validation] 旅行家。
Louis Demonts,R126,Person,[Validation] 博物馆策展人。
Louis Dorigny,,Person,[Validation] 法国画家 (主要在意大利)。
Louis Dorigny (Ludovico),,Person,[Disambiguation] 法国画家 (在意大利)。
Louis Hautecœur,,Person,[Validation] 艺术史学家。
Louis Le Nain,Q736207,Person,[Validation] 法国画家。
Louis Le Vau,Q310530,Person,[Validation] 法国建筑师。
"Louis Phélypeaux, marquis de La Vrillière",,Person,[Category Fix] 原文误标为 Place。法国国务大臣，著名收藏家。 | [Validation] 法国政治家/收藏家。 | [Validation] 法国政治家。
Louis Ponnelle,Q55771684,Person,[Validation] 历史学家。
Louis Richeome,Q1871941,Person,[Validation] 耶稣会作家 (La Peinture spirituelle)。
Louis Richême,,Person,"[OCR Fix] ""?"" -> ""ê"" (推测)。法国版画家/艺术家。"
Louis XIII,Q737533,Person,[Validation] 法国国王。
Louis XIV,A143,Person,[Validation] 法国国王。
Louis XV,Q7738,Person,[Validation] 法国国王。
Louis de Noailles,Q1349502,Person,[Validation] 法国元帅。
Louisa Ulrika of Prussia,,Person,[Validation] 瑞典王后。
Louise Rice,Q111387765,Person,[Validation] 艺术史学家。
Louvre,,Place,[Validation] 卢浮宫。
Louvre Museum,Q19675,Place,[Validation] 卢浮宫。
Low Countries,Q476033,Place,[Validation] 低地国家。
Luca Bartolotti,R127,Person,[Validation] 人物。
Luca Cambiaso,Q712512,Person,[Validation] 热那亚画家。
Luca Carlevarijs,Q2704669,Person,[Validation] 维杜塔画家。
Luca Giordano,Q332494,Person,[Validation] 那不勒斯画家。
Luca Ombrosi,R128,Person,[Validation] 18世纪佛罗伦萨作家 (Life of Gian Gastone)。
Lucas von Hildebrandt,,Person,[Reconstruction] 奥地利建筑师。
Lucca,,Place,[Validation] 城市。
Lucchese Community,,Group,[Category Fix] 原文误标为 Place。
Lucien Marcheix,R129,Person,[Validation] 历史学家 (19世纪)。
Lucius Annaeus Florus,Q316483,Person,[Validation] 罗马历史学家。
Lucretius,,Person,卢克莱修。
Ludovico Antonio Muratori,Q471529,Person,[Validation] 历史学家/学者。 | 意大利历史学家。
Ludovico Ariosto,Q48900,Person,[Disambiguation] 诗人 (疯狂的奥兰多)。 | [Validation] 诗人 (Orlando Furioso)。
Ludovico Carracci,Q380553,Person,[Validation] 博洛尼亚画家。
Ludovico David,Q6698987,Person,[Validation] 卢加诺/罗马画家/作家。
Ludovico Gimignani,Q3839112,Person,[Reconstruction] 罗马画家。 | [Validation] 罗马画家。
Ludovico Ludovisi,Q707750,Person,[Validation] 枢机主教/收藏家。 | [Validation] 枢机主教。
Ludovico Manin,,Person,[Disambiguation] 威尼斯末代总督。
Ludwig Burchard,Q1874264,Person,[Validation] 艺术史学家 (Rubens)。
Ludwig Mies van der Rohe,Q41508,Person,[Validation] 现代建筑师。
Ludwig Schudt,Q19754022,Person,[Validation] 罗马指南书专家 (Bibliotheca Hertziana)。
Ludwig von Pastor,Q64162,Person,[Validation] 历史学家 (History of the Popes)。
Luigi Adami,R131,Person,[Validation] 威尼斯/博洛尼亚人物 (可能是收藏家或画家)。
Luigi Boccherini,Q189766,Person,[Validation] 作曲家。
Luigi Borsari,Q28747741,Person,[Validation] 考古学家/Topographer。
Luigi Callari,Q123500942,Person,[Validation] 艺术写作者 (Roman palaces)。
Luigi Celotti (Abate Celotti),,Person,[Validation] 威尼斯书商/手稿收藏家。
Luigi Crespi,Q3266428,Person,[Validation] 博洛尼亚画家/传记作者 (Canonico Crespi)。
Luigi Ferrari,R132,Person,[Validation] 威尼斯图书馆员/目录学家。
Luigi Garzi,Q2442674,Person,[Validation] 罗马画家。
Luigi Huetter,Q93253213,Person,[Validation] 罗马历史学家 (Iscrizioni)。
Luigi Melchiori,Q94259803,Person,[Validation] 威尼斯历史人物? 需确认。
Luigi Passerini Orsini de' Rilli,Q17490306,Person,[Validation] 历史学家/家谱学家。
Luigi Pavini,Q124642279,Person,[Validation] 威尼斯出版商。
Luigi Pellegrini Scaramuccia,Q3266512,Person,[Validation] 画家/传记作家 (Le finezze de' pennelli)。
Luigi Pozzi,R133,Person,[Validation] 建筑师。
Luigi Quaini,Q1645680,Person,[Validation] 博洛尼亚画家。
Luigi Salerno,Q6700132,Person,[Validation] 艺术史学家 (Roman Baroque)。
Luigi Scaramuccia,,Person,佩鲁贾画家/传记作家。
Luigi Spezzaferro,Q19754023,Person,[Validation] 艺术史学家 (Caravaggio)。
Luigi Strozzi,Q3840187,Person,[Validation] 佛罗伦萨参议员/收藏家。
Luigi Teodoli,R134,Person,[Validation] 建筑师? 或客户。
Luigi de' Rossi,,Person,红衣主教（拉斐尔画作中人物）。
Luxembourg Palace,,Place,[Validation] 巴黎宫殿 (Rubens Medici Cycle 原址)。
M. de Bordeaux,R107,Person,[Validation] 人物 (法国外交官?)。
Macerata,,Organization,[Category Fix] 马切拉塔市政府。 | [Validation] 城市。
Madeleine Laurain-Portemer,Q3275671,Person,[Validation] 历史学家 (Mazarin专家)。
Madonna,A309,Person (Religious),[Category Fix] 原文误标为 Man-Made Object。圣母玛利亚。
Madonna and Child,A310,Work,[Validation] 绘画主题。
Madonna and Child with St. Elizabeth...,,Work,[Validation] 绘画主题。
Madonna and Child with the Infant Saint...,,Work,[Validation] 绘画主题。
Madonna dell'Orto,Q861436,Place,[Validation] 威尼斯教堂。
Madonna of the Baldacchino,Q3842604,Work,[Validation] 拉斐尔画作。
Madonna of the Harpies,Q1235695,Work,[Validation] 安德烈亚·德尔·萨托画作。
Madonna of the Rosary with Saints...,,Work,[Validation] 绘画主题。
"Madonna with Saints Agnes, Catherine and Rosa",Q79516336,Work,[Validation] 绘画主题。
Madonna with the Long Neck,Q867403,Work,[Validation] 帕尔米贾尼诺画作。
Madrid,,Place,[Validation] 城市。
Maecenas,A363,Person,[Category Fix] 原文误标为 Man-Made Object。古罗马赞助人。
Maecenas Presenting the Liberal Arts to Emperor Augustus,Q12123145,Work,[Validation] 绘画主题 (Tiepolo)。
Maffeo Barberini (Prince of Palestrina),,Person,[Disambiguation] 塔德奥之子。
Maffeo Pinelli,Q56006855,Person,[Validation] 威尼斯书商/收藏家。
Magnus von Platen,Q6051457,Person,[Validation] 瑞典文学史学家 (Christina专家)。
Malcolm Campbell,R136,Person,[Validation] 艺术史学家 (Pietro da Cortona)。
Malplaquet,Q24021436,Place,[Validation] 战役地点。
Malta,Q233,Place,[Validation] 马耳他。
Mamertine Prison,Q1035634,Place,[Validation] 罗马古迹。
Manin (Family),,Group,[Validation] 威尼斯家族。
Manlio Dazzi,Q21196209,Person,[Validation] 诗人/图书馆员 (Venice)。
Mannerism,,Concept,[Validation] 风格主义。
Manuel de Acevedo y Zúñiga (Count of Monterrey),,Person,"[OCR Fix] ""?"" -> ""ñ""。那不勒斯总督。"
Marcantonio Barbaro,Q711845,Person,[Validation] 威尼斯贵族/Palladio赞助人。
Marcantonio Chiarini,,Person,[Reconstruction] 博洛尼亚画家 (Quadraturista)。 | [Validation] 博洛尼亚画家 (Quadraturista)。
Marcantonio Colonna,,Person,"[Validation] 贵族 (可能是 Marcantonio II, 勒班陀战役英雄，或后代)。"
Marcantonio Franceschini,Q2543592,Person,[Category Fix] 原文误标为 Place。博洛尼亚画家。
Marcantonio II Colonna,Q878288,Person,[Validation] 帕利亚诺亲王/勒班陀战役英雄。
Marcel Roethlisberger,Q6756202,Person,[Validation] 艺术史学家 (Claude Lorrain专家)。
Marcello Del Piazzo,Q118874221,Person,[Validation] 档案学家。
Marcello Malpighi,Q232583,Person,[Validation] 医生/生物学家。
Marcello Oretti,Q56006940,Person,[Validation] 博洛尼亚艺术传记作家。
Marcello Sacchetti,A370,Person,[Validation] 罗马银行家/赞助人 (Pietro da Cortona)。
Marchands-amateurs,,Concept,[Category Fix] 原文误标为 Man-Made Object。指“业余艺术商”这一特定历史群体/概念。
Marche,Q1279,Place,"""Marche"" 的英语复数形式，标准化为 Marche。 | 意大利马尔凯大区。"
Marchese Raggi,R138,Person,可能是 Lorenzo Raggi 或该家族成员（如 Bernini 的赞助人），保留头衔。
Marchese Ruspoli,,Person,[Category Fix] 原文误标为 Man-Made Object。Francesco Maria Ruspoli 等。
Marchigian town,G65,Place,泛指马尔凯大区的城镇。
Marco Benefial,Q466471,Person,罗马画家。
Marco Boschini,Q662866,Person,威尼斯画家及艺术理论家（《Carta del Navegar Pitoresco》作者）。
Marco Fantuzzi,R139,Person,
Marco Foscarini,Q1242215,Person,威尼斯总督（Doge）。
Marco Pitteri,,Person,威尼斯版画家。
Marco Ricci,Q930162,Person,威尼斯风景画家。
Marco Sacconi,Q97571806,Person,
Marco Sebastiano Giampiccoli,Q21208132,Person,威尼斯版画家。
Marcus Atilius Regulus,Q318718,Person,罗马执政官，历史画常见主题。
Marcus Curtius,Q624745,Person,罗马神话英雄，历史画常见主题。
Marcus Furius Camillus,Q294862,Person,罗马独裁官，历史画常见主题。
Marcus Junius Brutus,Q172248,Person,刺杀凯撒的布鲁图斯。
Margaret Whinney,Q3290527,Person,现代著名的英国艺术史学家。
Marguerite Calberg,,Person,"[Full Name] ""Melle""即Mlle，比利时纺织/艺术史学者。"
Marguerite Louise d'Orléans,Q268349,Person,"[OCR Fix] 乱码修复 ""Orl谷ans"" -> ""Orléans""。托斯卡纳大公夫人。 | 托斯卡纳大公夫人。"
Maria Caterina,R141,Person,"[Ambiguous] 极泛指。结合上下文可能是 Rosalba Carriera 画作中的 ""Sister Maria Caterina"" 或 Maria Caterina Brignole。"
Maria Elena Ghelli,R142,Person,
Maria Labia,R143,Person,威尼斯 Labia 家族成员，Tiepolo 曾为该家族宫殿作画。
Maria Letizia Strocchi,Q125210034,Person,现代艺术史学者。
Maria Luisa,Q229854,Person,常见王室名（如西班牙的玛丽亚·路易莎），需结合特定条目消歧。
Maria Mancini,Q242532,Person,马萨林枢机的侄女，路易十四的情人。
Maria Pamphilj,,Person,[Spelling Fix] 标准化拼写为 Pamphilj (Olimpia Maidalchini 的女儿等)。
Maria Sellschopp,Q18916912,Person,可能是现代学者或具体的收藏/捐赠者。
Maria Sergeevna Konopleva,Q116795898,Person,苏联艺术史学家/策展人。
Maria Teresa Bonadonna Russo,Q111771530,Person,现代学者（罗马历史研究）。
Maria Theresa,,Person,玛丽亚·特蕾莎女王。
Maria Vittoria Brugnoli,Q106410682,Person,现代艺术史学家。
Maria Walpole,Q446919,Person,格洛斯特公爵夫人，沃尔波尔家族成员。
Marianne Roland Michel,Q19997562,Person,著名的法国艺术史学家（专攻18世纪）。
Mariano Armellini,Q2755302,Person,历史学家/考古学家（罗马基督教考古）。
Marie Thérèse Rodet Geoffrin,Q269865,Person,[Disambiguation] 著名沙龙女主人。 | [OCR Fix] 乱码修复。若弗兰夫人，著名的沙龙女主人。
Marie de' Medici,Q182021,Person,法国玛丽·德·美第奇王后。
Marilyn Aronberg Lavin,Q19997564,Person,现代著名的艺术史学家（Piero della Francesca 研究者）。
Marino Berengo,Q3848172,Person,现代意大利历史学家。
Mario Brunetti,Q61473962,Person,历史学家（威尼斯研究）。
Mario Chigi,Q98708917,Person,[Reconstruction] 教皇兄弟。 | 基吉家族成员（如教皇亚历山大七世的兄弟）。
Mario D'Orsi,R145,Person,现代艺术评论家/学者。
Mario Minniti,Q153619,Person,"[OCR Fix] ""Minitti"" -> ""Minniti""。卡拉瓦乔的朋友/模特。 | 卡拉瓦乔的朋友和模特，西西里画家。"
