Refined_Formal_Name,Refined_Category,Status/Notes
James Byam Shaw,Person,[Correction] 可能是混淆了 John Byam Shaw (画家) 和 James Byam Shaw (艺术史学家)。上下文多为艺术史，James Byam Shaw 是威尼斯画派素描专家。 | [Validation] 艺术史学家 (Venetian drawings)。
James C. Davis,Person,[Validation] 历史学家 (A Venetian Family)。
James Francis Edward Stuart,Person,[Disambiguation] 老僭王 (自称詹姆斯三世)。 | [Validation] 老僭王。
James Gibbs,Person,[Disambiguation] 詹姆斯·吉布斯。
James Gibbs (Jacopo Ghibbesio),Person,[Disambiguation] 詹姆斯·吉布斯 (苏格兰建筑师，曾用意大利名)。
James II of England,Person,[Validation] 英国国王。
James S. Ackerman,Person,[Validation] 建筑史学家 (Palladio/Michelangelo)。
James Thornhill,Person,[Validation] 英国巴洛克画家。
James Wyatt,Person,[Validation] 英国建筑师。
Jan Baptist de Wael,Person,[Validation] 佛兰芒画家/版画家。 | 佛兰芒画家。
Jan Białostocki,Person,[Validation] 艺术史学家。
Jan Both,Person,[Validation] 荷兰风景画家。
Jan Brueghel the Elder,Person,"[Disambiguation] 绰号 ""Velvet Brueghel"" (绒毛布鲁盖尔)。"
Jan Dubravius,Person,(Giovanni Dubravio Skala) 历史学家/主教。
Jan Miel,Person,[Validation] 佛兰芒画家。
Jan Weenix,Person,[Validation] 荷兰静物/风景画家。
Jan van den Eynde,Person,[Validation] 那不勒斯佛兰芒商人/收藏家 (Ferdinand van den Eynde的兄弟/亲戚)。 | 佛兰芒建筑师/商人，活跃于那不勒斯。 | 佛罗伦萨/那不勒斯富商/收藏家。
Jan van den Hecke,Person,[Validation] 佛兰芒画家。
Jane Costello,Person,[Validation] 艺术史学家。
Jean Alazard,Person,[Validation] 艺术史学家。
Jean Delumeau,Person,[Validation] 历史学家。
Jean Dughet,Person,[Validation] 普桑的内弟/版画家。
Jean Huber,Person,[Validation] 瑞士画家 (Voltaire肖像)。
Jean Lemaire (Lemaire-Poussin),Person,[Validation] 法国画家。
Jean-Antoine Houdon,Person,[Validation] 新古典主义雕塑家。
Jean-Antoine Nollet,Person,"[OCR Fix] ""Abb谷"" -> ""Abbé""。物理学家。 | [Validation] 物理学家 (Abbé Nollet)。"
Jean-Antoine Watteau,Person,[Validation] 法国画家。 | 华托。
Jean-Baptiste Bouchardon,Person,[Validation] 雕塑家 (Edmé的父亲)。
Jean-Baptiste Colbert,Person,[Validation] 路易十四的大臣。
Jean-Baptiste Théodon,Person,"[OCR Fix] ""Th谷odon"" -> ""Théodon""。法国雕塑家。 | [Validation] 法国雕塑家。"
Jean-Baptiste Vanmour,Person,[Validation] 法国画家 (东方主义)。
Jean-Baptiste van Mour,Person,以描绘奥斯曼帝国风情著称的画家。
Jean-Baptiste-Siméon Chardin,Person,[Validation] 法国画家。
Jean-Claude Richard de Saint-Non,Person,"[OCR Fix] ""Abb谷"" -> ""Abbé""。著名的艺术赞助人和版画家。"
Jean-François Millet,Person,"[OCR Fix] ""?"" -> ""ç""。 | [OCR Fix] 乱码修复 ""?ois"" -> ""çois""。"
Jean-François de La Harpe,Person,"[Disambiguation] 评论家。 | [OCR Fix] ""?"" -> ""ç""。"
Jean-François de Troy,Person,"[OCR Fix] ""?"" -> ""ç""。"
Jean-Honoré Fragonard,Person,[Reconstruction] 法国画家。 | [Validation] 法国画家。
Jean-Hugues Taraval,Person,[Validation] 法国画家。
Jean-Jacques Bouchard,Person,[Validation] 17世纪法国日记作者 (罗马生活)。
Jean-Jacques Rousseau,Person,[Validation] 哲学家。
Jeffrey Daniels,Person,[Validation] 艺术史学家 (Sebastiano Ricci)。
Jennifer Montagu,Person,[Validation] 艺术史学家。 | 现代著名艺术史学家（巴洛克雕塑权威）。
Jenny Adam,Person,[Check Original] 可能是 Robert Adam 的妹妹 Janet (Jenny)?
Jeremiah,Person,[Validation] 先知。
Jerome Bankes,Person,[Category Fix] 原文误标为 Man-Made Object。 | [Validation] 英国旅行者/赞助人。
Jerónimo Nadal,Person,(Jerome Nadal) 耶稣会神学家，反宗教改革图像学重要人物。 | [Validation] 耶稣会士 (Nadal's Gospel Illustrations)。
Jerónimos Monastery,Place,热罗尼莫斯修道院。
Jesuit Archives,Place/Organization,[Validation] 档案机构。
Jesuit Church,Place,[Validation] 泛指或特指 (Gesù)。
Jesuit School,Place,[Validation] 学校。
Jesuits,Group,[Validation] 耶稣会。
Jesus Christ,Person,[Validation] 耶稣。
Joachim von Sandrart,Person,[Validation] 德国画家/传记作家 (Teutsche Academie)。
Joachim-Joseph Berthier,Person,[Validation] 多明我会历史学家。
Job,Person,[Validation] 圣经人物。
Job and his Wife / Isaac Blessing Jacob,Work,[Split Required] 两个不同的圣经主题，可能是同一作品集中列出。
Johann Adalbert Veith,Person,波希米亚/奥地利画家。
Johann Bernhard Fischer von Erlach,Person,[Reconstruction] 奥地利巴洛克建筑师。 | [Validation] 奥地利建筑师。
Johann Carl Loth,Person,[Validation] 威尼斯画家。
Johann Carl Loth (Carlotto),Person,[Validation] 威尼斯画家 (德国裔)。
Johann Caspar Goethe,Person,[Validation] 歌德的父亲 (旅行日记)。
Johann Christian Brand,Person,[Disambiguation] 奥地利风景画家。 | [Validation] 奥地利画家。
Johann Christoph Pepusch,Person,[Validation] 作曲家。 | 德国作曲家，活跃于伦敦。
Johann Christoph Storer,Person,(Cristoforo Storer) 康斯坦茨出生的画家，活跃于米兰。 | [Validation] 画家。
"Johann Georg III, Elector of Saxony",Person,[Validation] 萨克森选帝侯。
Johann Georg Keyssler,Person,"[OCR Fix] ""?"" -> ""ss"" or ""ß""。旅行作家。"
Johann Georg Zimmermann,Person,[Validation] 瑞士作家/医生。
"Johann II, Prince of Liechtenstein",Person,[Validation] 列支敦士登亲王 (19世纪/20世纪初，作为收藏家)。
Johann Joachim Winckelmann,Person,[Validation] 艺术史之父。 | 温克尔曼。
Johann Liss (Jan Lyss),Person,[Disambiguation] 德国/威尼斯画家。
Johann Lukas von Hildebrandt,Person,[Validation] 建筑师。
Johann Matthias von der Schulenburg,Person,[Category Fix] 威尼斯共和国元帅，重要的艺术收藏家。 | [Validation] 陆军元帅/威尼斯收藏家。 | 威尼斯元帅，重要收藏家。
Johann Philipp Franz von Schönborn,Person,"[OCR Fix] | [OCR Fix] ""?"" -> ""ö""。维尔茨堡采邑主教。"
"Johann Wilhelm, Elector Palatinate",Person,[Disambiguation] 普法尔茨选帝侯。 | [Validation] 同上。
Johann Zacharias Platner,Person,[Validation] 莱比锡医生/收藏家? 或者是 Johann Zacharias Platner (考古学家/罗马描述者)? 指 Zacharias Platner (17世纪)? 实际上是 Giovanni Zaccaria Platner (Zacharias Platner) 也是画家。但更可能是 Ernst Zacharias Platner (画家/作家)? 搜索显示 Johann Zacharias Platner 是著名的莱比锡解剖学家。在艺术语境下，可能是指他在罗马的活动或收藏。
Johannes Vermeer,Person,[Validation] 维米尔。
Johannes Wilde,Person,[Validation] 艺术史学家 (Michelangelo/Venetian art)。
John B. Shipley,Person,[Validation] 学者。
John Breval,Person,[Reconstruction] 英国作家/旅行家。
John Bryson,Person,[Validation] 收藏家 (Ashmolean bequest)。
John Buonarotti Papworth,Person,[Validation] 英国建筑师。
John Byng (Admiral),Person,[Disambiguation] 英国海军上将。
"John Cecil, 5th Earl of Exeter",Person,[Disambiguation] 伯利勋爵/Grand Tour 旅行者。 | [Validation] 伯利勋爵/大旅行者。
"John Cecil, 6th Earl of Exeter",Person,[Validation] 伯利勋爵。
John Charlton,Person,[Validation] 艺术史学家/Banquetting House专家。
"John Churchill, 1st Duke of Marlborough",Person,[Validation] 马尔博罗公爵。
John Closterman,Person,[Validation] 肖像画家。
John Conduitt,Person,[Validation] 牛顿的继侄女婿/收藏家。
John Constable,Person,[Validation] 英国风景画家 (19世纪)。
John Dryden,Person,[Validation] 诗人。
John Durant Breval,Person,[Validation] 旅行作家。
John Evelyn,Person,[Validation] 日记作者。
John Finch,Person,[Validation] 英国驻君士坦丁堡大使/Padua校友。
John Fleming,Person,[Validation] 艺术史学家。
John Gay,Person,[Validation] 诗人/剧作家。
John Gilmartin,Person,[Validation] 艺术史学家 (Batoni)。
"John Hervey, 2nd Baron Hervey",Person,[Disambiguation] 赫维勋爵 (回忆录作者)。 | [Validation] 赫维勋爵。
John III Sobieski,Person,[Validation] 波兰国王。
John Law,Person,[Validation] 经济学家 (密西西比泡沫)。
John Locke,Person,[Validation] 哲学家。
John Manners (Marquess of Granby / Duke of Rutland),Person,[Ambiguity] 需区分具体哪位。
John Milton,Person,[Validation] 诗人。
John Murray,Person,可能是著名的出版商 John Murray 家族成员（出版旅游指南）。
John Nicoll,Person,[Validation] 可能是收藏家或校。
John Nordiall,Person,[Verify] 罕见名，可能是误拼或小众人物。
John Northall,Person,[Validation] 旅行作家 (Travels through Italy)。
John Pope-Hennessy,Person,[Validation] 著名艺术史学家。
John Ripley Freeman,Person,[Validation] 工程师? 可能误入或同名收藏家。
John Russell,Person,[Ambiguity] 可能是画家 John Russell (RA) 或 Bedford 公爵。
"John Russell, 4th Duke of Bedford",Person,[Disambiguation] 英国贵族/赞助人。
"John Sheffield, 1st Duke of Buckingham and Normanby",Person,[Full Name] 诗人/政治家。 | [Validation] 政治家/作家。
John Skippe,Person,[Validation] 业余艺术家/收藏家 (Chiaroscuro woodcuts)。 | 英国业余艺术家/鉴赏家。
John Strange,Person,[Validation] 英国驻威尼斯居民/收藏家。
John Sweetman,Person,[Validation] 艺术史学家 (Orientalism)。
John Tillotson,Person,[Validation] 坎特伯雷大主教。
John Udny,Person,"[Dialect/OCR] 威尼斯方言 ""Zuane"" = Giovanni = John; ""Udni"" = Udny (Consul John Udny)。 | [Spelling Fix] 英国驻威尼斯领事 (Consul Udny)。 | [Validation] 英国驻威尼斯/里窝那领事 (收藏家)。"
John Vanbrugh,Person,[Validation] 建筑师/剧作家。
John Walker,Person,[Validation] 艺术史学家/策展人 (National Gallery of Art)。
John Webster,Person,[Validation] 剧作家。
John Woodward,Person,[Validation] 地质学家/收藏家 (Gems)。
Joint caricature of Simonelli and Mola,Work,[Validation] 讽刺画。
Josef Grisar,Person,[Validation] 耶稣会历史学家 (Papal finance)。
Joseph Addison,Person,[Category Fix] 误标为 Work (E22)。英国作家/政治家。 | [Validation] 作家/政治家。
Joseph Perrot,Person,[Validation] 画家/人物。
Joseph Smith (Consul),Person,[Disambiguation] 英国驻威尼斯领事/收藏家。
Joseph Sold by his Brothers,Work,[Validation] 绘画主题。
Joseph Valfrey,Person,[Check Original] 可能是 Joseph Valfrey 或 Valfré? 待定。
Joseph Wagner,Person,[Validation] 威尼斯版画家 (Wagner workshop)。
Joseph and Potiphar's Wife,Work,[Validation] 绘画主题。
Joseph de Guibert,Person,[Validation] 耶稣会历史学家 (Jesuit spirituality)。
Joshua Reynolds,Person,[Validation] 英国画家。
Juan de Pareja,Person,[Validation] 西班牙画家 (Velázquez助手)。
"Juan de Tassis y Peralta, 2nd Count of Villamediana",Person,[Full Name] 西班牙诗人/外交官。
Juan van der Hamen,Person,[Validation] 西班牙静物画家。
Judith,Person,[Validation] 圣经人物。
Judith shows the people the head of Holofernes,Work,[Validation] 绘画主题。
Judith with the Head of Holofernes,Work,[Validation] 绘画主题。
Jules Mazarin,Person,马萨林枢机。 | 马萨林枢机的意大利原名。
Julian (Emperor),Person,[Disambiguation] 尤利安皇帝。
Julius II,Person,[Disambiguation] 教皇尤利乌斯二世。
Julius von Schlosser,Person,[Validation] 艺术史学家 (Vienna School)。
Juno,Person (Myth),[Validation] 女神。
"Juno, Goddess of Air",Work/Person,[Validation] 寓意画主题。
Jupiter,Person (Myth),[Validation] 主神。
Jupiter among the Corybantes,Work,[Validation] 绘画主题。
Jupiter and Antiope,Work,[Validation] 绘画主题。
Jupiter and Io with Cupid and Attendant Putti,Work,[Validation] 绘画主题。
Jupiter giving Suck,Work,[Validation] 绘画主题 (可能是 Jupiter Suckled by the Goat Amalthea 的误读或变体)。
Jupiter handed over by Cybele to the Corybantes,Work,[Validation] 绘画主题。
Jupiter sending down his Thunderbolts,Work,[Validation] 绘画主题 (Giulio Romano等)。
Jusepe de Ribera,Person,[Validation] 西班牙画家。 | 别名 Spagnoletto。
Justice,Person (Allegory),[Category Fix] 原文误标为 Man-Made Object。正义女神。
Justice Embracing Peace,Work,[Validation] 绘画主题。
Justin (historian),Person,罗马历史学家查士丁。
Justine Wynne,Person,"[Context] 著名的 ""Comtesse des Ursins-Rosenberg"" (Justine Wynne)，威尼斯社交名流。"
Justinus (Historian) / Justin Martyr,Person,[Ambiguity] 可能是历史学家查士丁或殉道者查士丁。
Justus of Ghent,Person,[Validation] 同上。
Justus of Ghent (Joos van Wassenhove),Person,[Validation] 早期尼德兰画家。
Jérôme Lalande,Person,"[OCR Fix] ""?"" -> ""ô""。天文学家/旅行作家。"
Jérôme Richard,Person,"[OCR Fix] ""?"" -> ""ô""。旅行作家 (Abbé Richard)。"
Jörg Garms,Person,"[OCR Fix] ""?"" -> ""ö""。艺术史学家。"
K. T. Parker,Person,[Validation] 艺术史学家/策展人 (Ashmolean)。
Kaisersaal (Würzburg),Place,[Validation] 维尔茨堡宫帝王厅 (Tiepolo壁画)。
Karel van Mander,Person,[Validation] 画家/传记作家 (Schilder-boeck)。
Karel van Mander III,Person,[Validation] 荷兰画家/诗人。
Karl Ludwig von Pöllnitz,Person,"[OCR Fix] ""?"" -> ""ö""。回忆录作者。 | [OCR Fix] ""P?llnitz"" -> ""Pöllnitz""。普鲁士回忆录作家。"
Karl Philipp von Greiffenclau,Person,[Validation] 维尔茨堡采邑主教 (Tiepolo赞助人)。 | [Validation] 维尔茨堡采邑主教。
Karolina Lanckorońska,Person,[Validation] 艺术史学家/收藏家。
Kassel,Place,[Validation] 城市。
Kate Steinitz,Person,[Validation] 达芬奇学者/艺术家。
Katherine Tofts,Person,英国女高音歌唱家，居于威尼斯。
Keller Peninsula,Place,[Validation] 地名。
Kenneth Donahue,Person,[Validation] 艺术史学家 (LACMA馆长)。
Kimbolton Castle,Place,[Validation] 曼切斯特公爵府邸 (Pellegrini壁画)。
King George Island,Place,[Validation] 岛屿 (南极)。
King Midas,Person (Myth),[Category Fix] 原文误标为 Man-Made Object。
King Solomon Bathing,Work,"[Validation] 绘画主题 (可能指 Bathsheba?) 需确认。Solomon usually doesn't bathe in art. Maybe ""Bathsheba bathing""? or ""Susanna""?"
King's College (Cambridge),Place,[Validation] 剑桥国王学院。
King's College Library,Place,[Validation] 图书馆。
Klaus Lankheit,Person,[Validation] 艺术史学家 (Baroque sculpture)。
Klára Garas,Person,[Validation] 匈牙利艺术史学家 (Maulbertsch/Baroque)。
Knight of the Golden Spur,Group/Title,[Category Fix] 误标为 Work。爵位。
Kunsthistorisches Museum,Place,[Validation] 维也纳艺术史博物馆。
Kunstsammlungen,Place/Concept,"[Validation] 艺术收藏 (通常指 Weimar, Dresden 等地的机构)。"
L'Inondazione del Tevere,Work,[Validation] 画作标题。
L'Osservatore Veneto,Work,[Category Fix] 报刊名（Gozzi 等人创办）。
"La Beata Vergine in Egitto, e S. Giuseppe",Work,[Validation] 绘画主题。
La Burla del Piovano Arlotto,Work,[Validation] 画作标题 (Volterrano/Giovanni da San Giovanni)。
La Chiesa di Gesù Cristo vendicata...,Work,[Validation] 书籍标题。
La Fiera dell'Impruneta,Work,[Validation] Callot 版画。
La Galleria di Minerva,Work,"[OCR Fix] ""Minervat VI"" -> ""Minerva, t. VI"" (期刊/丛书)。"
La Notte (Correggio),Work,[Validation] 柯雷乔画作 (The Nativity)。
La Storta,Place,[Validation] 罗马附近地点 (Ignatius vision)。
La rissa all'Ambasciata di Spagna,Work,[Validation] 绘画主题 (The Brawl at the Spanish Embassy)。
Labia (Family),Group,[Validation] 威尼斯家族 (Palazzo Labia)。
Labia Collection,Organization/Group,[Category Fix] 原文误标为 Man-Made Object。
Lady Mary Wortley Montagu,Person,英国贵族、作家，曾游历东方。
Lake Bracciano,Place,[Validation] 湖泊。
Lamport Hall,Place,[Category Fix] 原文误标为 Person。Isham家族庄园。
Landscape with Cephalus and Procris,Work,[Validation] 克劳德·洛兰画作。
Landscape with Man fleeing from Serpent,Work,[Validation] 普桑画作。
Landscape with Psyche Outside the Palace of Cupid,Work,[Validation] 克劳德·洛兰画作 (The Enchanted Castle)。
Landscape with Pyramus and Thisbe,Work,[Category Fix] 普桑的画作。
Landscape with Rural Dance,Work,[Validation] 克劳德·洛兰画作。
Landscape with Woman washing her Feet,Work,[Validation] 普桑画作 (Phocion)。
Landscape with a Man killed by a Snake,Work,[Validation] 普桑画作。
Landscape with figures and animals,Work,[Validation] 通用标题。
Landscape with the Father of Psyche Sacrificing...,Work,[Validation] 克劳德·洛兰画作。
Landscape with the Flight into Egypt,Work,[Validation] 绘画主题 (Carracci/Lorrain等)。
Landscape with the Port of Santa Marinella,Work,[Validation] 克劳德·洛兰画作。
Lateran,Place,[Validation] 拉特朗区域。
Lateran Baptistery,Place,[Validation] 洗礼堂。
Lateran Palace,Place,[Validation] 宫殿。
Laurent Cars,Person,"[OCR Fix] ""Laurence"" -> ""Laurent""。法国版画家。 | [Validation] 法国版画家。"
Laurent de La Hyre,Person,[Validation] 法国画家。
Lauro,Place,[Validation] 地点。
Lazzaro Baldi,Person,[Validation] 罗马画家。
Lazzaro Rivera,Person,[Validation] 人物。
Lazzaro Riviera,Person,18世纪作家，与 Felice Boscarati 有关。
Le Arti che vanno per via nella città di Venezia,Work,[Validation] Zompini 版画集 (Venetian Cries)。
Le Fabbriche e Vedute di Venetia,Work,[Validation] Carlevarijs 版画集。
Leandro Ozzola,Person,[Validation] 艺术史学家。
Leda,Person (Myth),[Category Fix] 原文误标为 Man-Made Object。
Leda and the Swan,Work,[Validation] 绘画主题。
Leipzig,Place,[Validation] 城市。
Lelio Guidiccioni,Person,[Validation] 诗人/评论家。
Leo I (Pope),Person,[Validation] 教皇利奥一世。
Leo X,Person,[Validation] 教皇利奥十世。
Leo van Puyvelde,Person,[Validation] 比利时艺术史学家。
Leonaert Bramer,Person,[Disambiguation] 荷兰画家。 | [Validation] 荷兰画家。
Leonardo Loredan,Person,[Validation] 威尼斯总督。
Leonardo Pasqueti,Person,[Validation] 人物。
Leonardo Pasquetti,Person,
Leonardo Pesaro,Person,[Validation] 威尼斯贵族。
Leonardo Valmarana,Person,[Validation] 贵族。 | 帕拉迪奥的赞助人。
Leonardo Venier,Person,[Validation] 威尼斯贵族。
Leonardo da Vinci,Person,[Validation] 达芬奇。
Leone Matina,Person,[Reconstruction] 17世纪威尼斯（Olivetan）修士、作家/版画相关人物。
Leonine City,Place,[Validation] 梵蒂冈区域。
Leonora Baroni,Person,[Validation] 歌手/竖琴演奏家。
"Leopold I, Holy Roman Emperor",Person,[Validation] 神圣罗马帝国皇帝。
"Leopold II, Holy Roman Emperor",Person,[Disambiguation] 托斯卡纳大公 Leopold I 继位为神圣罗马皇帝 Leopold II。 | [Validation] 同上。
Leopold Joseph von Daun,Person,[Validation] 奥地利元帅。
Leopoldo de' Medici,Person,[Validation] 枢机主教/收藏家。
Leto Puliti,Person,[Validation] 历史学家。
Leto turning the Shepherds into Frogs,Work,[Validation] 绘画主题。
Liechtenstein (Family),Group,[Validation] 贵族家族。
Life of Christ (Series),Work,[Validation] 绘画/版画系列。
Lina Livan,Person,[Validation] 档案学家。
Lina Montalto,Person,[Validation] 艺术史学家。
Lione Pascoli,Person,[Validation] 传记作家。
Lionel Cust,Person,[Validation] 艺术史学家。
Lionello Puppi,Person,[Validation] 艺术史学家 (Palladio/Venice)。
Lita-Rose Betcherman,Person,[Validation] 作家/历史学家 (Balthasar Gerbier)。
Liverpool,Place,[Validation] 城市。
Livio Mehus,Person,[Validation] 佛罗伦萨画家。
Livio Odescalchi,Person,[Validation] 罗马贵族/收藏家。
Lodovico Furlanetto,Person,"[OCR Fix] ""Furnaletto"" -> ""Furlanetto"" (威尼斯出版商)。 | [Validation] 威尼斯出版商。"
Lodovico Gabrielli,Person,"[OCR Fix] ""Gabrieli"" -> ""Gabrielli"" (可能)。也有可能是 Lodovico Gabriel。"
Lodovico Grignani,Person,[Validation] 17世纪出版商 (Rome)。
Lodovico Ottavio Burnacini,Person,[Validation] 建筑师/设计师 (Vienna)。
Lodovico Rezzonico,Person,[Validation] 威尼斯贵族 (Procuratore)。
Loménie de Brienne (Count),Person,[Disambiguation] 可能是 Henri-Auguste de Loménie (路易十四时期) 或 Étienne Charles de Loménie de Brienne (18世纪)。倾向于 Henri-Auguste (游记作者)。
London,Place,[Validation] 城市。
Lord Byron,Person,[Validation] 诗人。
Loredana Olivato,Person,[Validation] 艺术史学家。
Lorenzo Cardella,Person,[Validation] 历史学家 (Memorie storiche de' cardinali)。
Lorenzo Costa,Person,[Validation] 文艺复兴画家。
Lorenzo Da Ponte,Person,[Validation] 剧作家。
Lorenzo Magalotti,Person,[Validation] 外交官/科学家。
Lorenzo Masini,Person,[Validation] 佛罗伦萨贵族。
Lorenzo Mattielli,Person,[Validation] 维琴察雕塑家 (Vienna)。
Lorenzo Onofrio Colonna,Person,[Validation] 罗马亲王。
Lorenzo Pasinelli,Person,[Validation] 博洛尼亚画家。
Lorenzo Raggi,Person,[Validation] 枢机主教。
Lorenzo Rossi,Person,[Validation] 人物。
Lorenzo de' Medici (the Magnificent),Person,[Disambiguation] 伟大的洛伦佐。
Lorenzo del Rosso,Person,[Validation] 建筑师。
Loreto,Place,[Validation] 地点 (Santa Casa)。
Lot and his Daughters,Work,[Validation] 绘画主题。
Lothar Franz von Schönborn,Person,"[OCR Fix] ""?"" -> ""ö""。美因茨选帝侯。 | [OCR Fix] 美因茨选帝侯。"
Louis Batiffol,Person,[Validation] 历史学家。
Louis Bordet,Person,[Validation] 旅行家。
Louis Demonts,Person,[Validation] 博物馆策展人。
Louis Dorigny,Person,[Validation] 法国画家 (主要在意大利)。
Louis Dorigny (Ludovico),Person,[Disambiguation] 法国画家 (在意大利)。
Louis Hautecœur,Person,[Validation] 艺术史学家。
Louis Le Nain,Person,[Validation] 法国画家。
Louis Le Vau,Person,[Validation] 法国建筑师。
"Louis Phélypeaux, marquis de La Vrillière",Person,[Category Fix] 原文误标为 Place。法国国务大臣，著名收藏家。 | [Validation] 法国政治家/收藏家。 | [Validation] 法国政治家。
Louis Ponnelle,Person,[Validation] 历史学家。
Louis Richeome,Person,[Validation] 耶稣会作家 (La Peinture spirituelle)。
Louis Richême,Person,"[OCR Fix] ""?"" -> ""ê"" (推测)。法国版画家/艺术家。"
Louis XIII,Person,[Validation] 法国国王。
Louis XIV,Person,[Validation] 法国国王。
Louis XV,Person,[Validation] 法国国王。
Louis de Noailles,Person,[Validation] 法国元帅。
Louisa Ulrika of Prussia,Person,[Validation] 瑞典王后。
Louise Rice,Person,[Validation] 艺术史学家。
Louvre,Place,[Validation] 卢浮宫。
Louvre Museum,Place,[Validation] 卢浮宫。
Low Countries,Place,[Validation] 低地国家。
Luca Bartolotti,Person,[Validation] 人物。
Luca Cambiaso,Person,[Validation] 热那亚画家。
Luca Carlevarijs,Person,[Validation] 维杜塔画家。
Luca Giordano,Person,[Validation] 那不勒斯画家。
Luca Ombrosi,Person,[Validation] 18世纪佛罗伦萨作家 (Life of Gian Gastone)。
Lucas von Hildebrandt,Person,[Reconstruction] 奥地利建筑师。
Lucca,Place,[Validation] 城市。
Lucchese Community,Group,[Category Fix] 原文误标为 Place。
Lucien Marcheix,Person,[Validation] 历史学家 (19世纪)。
Lucius Annaeus Florus,Person,[Validation] 罗马历史学家。
Lucretius,Person,卢克莱修。
Ludovico Antonio Muratori,Person,[Validation] 历史学家/学者。 | 意大利历史学家。
Ludovico Ariosto,Person,[Disambiguation] 诗人 (疯狂的奥兰多)。 | [Validation] 诗人 (Orlando Furioso)。
Ludovico Carracci,Person,[Validation] 博洛尼亚画家。
Ludovico David,Person,[Validation] 卢加诺/罗马画家/作家。
Ludovico Gimignani,Person,[Reconstruction] 罗马画家。 | [Validation] 罗马画家。
Ludovico Ludovisi,Person,[Validation] 枢机主教/收藏家。 | [Validation] 枢机主教。
Ludovico Manin,Person,[Disambiguation] 威尼斯末代总督。
Ludwig Burchard,Person,[Validation] 艺术史学家 (Rubens)。
Ludwig Mies van der Rohe,Person,[Validation] 现代建筑师。
Ludwig Schudt,Person,[Validation] 罗马指南书专家 (Bibliotheca Hertziana)。
Ludwig von Pastor,Person,[Validation] 历史学家 (History of the Popes)。
Luigi Adami,Person,[Validation] 威尼斯/博洛尼亚人物 (可能是收藏家或画家)。
Luigi Boccherini,Person,[Validation] 作曲家。
Luigi Borsari,Person,[Validation] 考古学家/Topographer。
Luigi Callari,Person,[Validation] 艺术写作者 (Roman palaces)。
Luigi Celotti (Abate Celotti),Person,[Validation] 威尼斯书商/手稿收藏家。
Luigi Crespi,Person,[Validation] 博洛尼亚画家/传记作者 (Canonico Crespi)。
Luigi Ferrari,Person,[Validation] 威尼斯图书馆员/目录学家。
Luigi Garzi,Person,[Validation] 罗马画家。
Luigi Huetter,Person,[Validation] 罗马历史学家 (Iscrizioni)。
Luigi Melchiori,Person,[Validation] 威尼斯历史人物? 需确认。
Luigi Passerini Orsini de' Rilli,Person,[Validation] 历史学家/家谱学家。
Luigi Pavini,Person,[Validation] 威尼斯出版商。
Luigi Pellegrini Scaramuccia,Person,[Validation] 画家/传记作家 (Le finezze de' pennelli)。
Luigi Pozzi,Person,[Validation] 建筑师。
Luigi Quaini,Person,[Validation] 博洛尼亚画家。
Luigi Salerno,Person,[Validation] 艺术史学家 (Roman Baroque)。
Luigi Scaramuccia,Person,佩鲁贾画家/传记作家。
Luigi Spezzaferro,Person,[Validation] 艺术史学家 (Caravaggio)。
Luigi Strozzi,Person,[Validation] 佛罗伦萨参议员/收藏家。
Luigi Teodoli,Person,[Validation] 建筑师? 或客户。
Luigi de' Rossi,Person,红衣主教（拉斐尔画作中人物）。
Luxembourg Palace,Place,[Validation] 巴黎宫殿 (Rubens Medici Cycle 原址)。
M. de Bordeaux,Person,[Validation] 人物 (法国外交官?)。
Macerata,Organization,[Category Fix] 马切拉塔市政府。 | [Validation] 城市。
Madeleine Laurain-Portemer,Person,[Validation] 历史学家 (Mazarin专家)。
Madonna,Person (Religious),[Category Fix] 原文误标为 Man-Made Object。圣母玛利亚。
Madonna and Child,Work,[Validation] 绘画主题。
Madonna and Child with St. Elizabeth...,Work,[Validation] 绘画主题。
Madonna and Child with the Infant Saint...,Work,[Validation] 绘画主题。
Madonna dell'Orto,Place,[Validation] 威尼斯教堂。
Madonna of the Baldacchino,Work,[Validation] 拉斐尔画作。
Madonna of the Harpies,Work,[Validation] 安德烈亚·德尔·萨托画作。
Madonna of the Rosary with Saints...,Work,[Validation] 绘画主题。
"Madonna with Saints Agnes, Catherine and Rosa",Work,[Validation] 绘画主题。
Madonna with the Long Neck,Work,[Validation] 帕尔米贾尼诺画作。
Madrid,Place,[Validation] 城市。
Maecenas,Person,[Category Fix] 原文误标为 Man-Made Object。古罗马赞助人。
Maecenas Presenting the Liberal Arts to Emperor Augustus,Work,[Validation] 绘画主题 (Tiepolo)。
Maffeo Barberini (Prince of Palestrina),Person,[Disambiguation] 塔德奥之子。
Maffeo Pinelli,Person,[Validation] 威尼斯书商/收藏家。
Magnus von Platen,Person,[Validation] 瑞典文学史学家 (Christina专家)。
Malcolm Campbell,Person,[Validation] 艺术史学家 (Pietro da Cortona)。
Malplaquet,Place,[Validation] 战役地点。
Malta,Place,[Validation] 马耳他。
Mamertine Prison,Place,[Validation] 罗马古迹。
Manin (Family),Group,[Validation] 威尼斯家族。
Manlio Dazzi,Person,[Validation] 诗人/图书馆员 (Venice)。
Mannerism,Concept,[Validation] 风格主义。
