Original_Entry,Refined_Formal_Name,Refined_Category,Status/Notes
Galleria L'Antonina,Galleria L'Antonina,Organization,[Category Fix] 误标为地点。罗马画廊/拍卖行。
Gallerie di Firenze,Gallerie di Firenze,Organization/Place,[Category Fix] 误标为人物。
Gallery of the Aeneid,Gallery of the Aeneid (Palazzo Doria Pamphilj),Work/Place,[Status] Pietro da Cortona 的壁画厅。
Gaspare Partridge,Gaspare Partridge,Person,[Category Fix] 误标为地点。英国驻威尼斯领事/代理人?
Gerald Burden,Gerald Burden,Person,[Category Fix] 误标为地点。
Gerolamo Nappi,Gerolamo Nappi,Person,[Category Fix] 误标为地点。
Gio. Gasparo Baldoini,Giovanni Gasparo Baldoini,Person,[Category Fix] 误标为地点。
Giorgio Casini,Giorgio Casini,Person,[Status] 佛罗伦萨石刻师?
Giovanni Antonio Armanni,Giovanni Antonio Armanni,Person,[Status] 罗马文人。
Giovanni Battista Fontanella,Giovanni Battista Fontanella,Person,[Status] 威尼斯出版商?
Girl with a Basket of Chickens,Girl with a Basket of Chickens (Painting),Work,[Category Fix] 误标为人物。
Giuho Pisano,Giulio Pisano,Person,"[OCR Fix] ""Giuho"" -> ""Giulio""。"
Giulio della Greca,Giulio della Greca,Person,[Status] 17世纪人物 (奖章制作者/艺术家)。
Giuseppe Antonio Lotti,Giuseppe Antonio Lotti,Person,[Status] 佛罗伦萨音乐家/艺术家。
Giuseppe Fochessati,Giuseppe Fochessati,Person,[Category Fix] 误标为作品。
Giuseppe Lorenzo Moncallero,Giuseppe Lorenzo Moncallero,Person,[Status] 未知。
Giuseppe Toninotto,Giuseppe Toninotto,Person,[Status] 见上文 Toninotto。
Gloria Chiarini de Anna,Gloria Chiarini de Anna,Person,[Status] 现代研究者?
Glorification of the Pisani family,Glorification of the Pisani Family (Fresco),Work,[Category Fix] 误标为人物。Tiepolo。
Glory of Venice,Glory of Venice (Painting),Work,[Category Fix] 误标为人物。
God creating the Angels and Parnassus with Apollo and the Muses,God creating the Angels... (Painting),Work,[Category Fix] 误标为人物。
Gordon Albion,Gordon Albion,Person,[Status] 历史学家。
Gran Tempio Antico,Gran Tempio Antico (Painting/Print),Work,[Status] 绘画主题。
Grand Ferdinando of Tuscany,Grand Prince Ferdinando de' Medici,Person,[Category Fix] 误标为作品。
Guglielmo Bauer,Johann Wilhelm Baur (Guglielmo Bauer),Person,[Category Fix] 误标为作品。
Guidalocti Franchini,Guidalotti Franchini,Person,"[OCR Fix] ""Guidalocti"" -> ""Guidalotti""。"
Gypsy Woman with Soldiers,Gypsy Woman with Soldiers (Painting),Work,[Status] Valentin/Caravaggisti 主题。
Hebrew Women singing after crossing the Red Sea,Hebrew Women singing... (Painting),Work,[Category Fix] 误标为人物。
Heroes approaching the Temple of Immortality,Heroes approaching the Temple... (Painting),Work,[Category Fix] 误标为人物。
Hilda Finberg,Hilda Finberg,Person,[Status] 艺术史学家。
Historic e di Maniera Veneziana,Historie di Maniera Veneziana,Work/Style,"[OCR Fix] ""Historic"" -> ""Historie""。"
Illustrations for De Bello Belgico,Illustrations for De Bello Belgico,Work,[Status] Famiano Strada 的书。
Illustrations for De Bello Belgico,Illustrations for De Bello Belgico,Work,[Duplicate] 重复。
Illustrations for Latin Poems,Illustrations for Latin Poems,Work,[Category Fix] 误标为人物。
Images of Palladian Architecture,Images of Palladian Architecture,Work,[Status] 建筑图录。
Incisa Della Rocchetta,Incisa della Rocchetta,Person/Family,[Category Fix] 误标为作品。
Interior of San Andrea al Quirinale,Interior of Sant'Andrea al Quirinale (Painting),Work,[Status] 绘画主题。
Jacob Ghibbesio,James Gibbs (Jacopo Ghibbes),Person,[Category Fix] 误标为作品。见 Ghibbesio。
Jacopo Pedozzi,Jacopo Pedozzi,Person,[Category Fix] 误标为作品。
Jacques Duyvdant,Jacques Duyvelant,Person,"[OCR Fix] ""Duyvdant"" -> ""Duyvelant""。误标为作品。"
Jael Hammering a nail into Sisera,Jael and Sisera (Painting),Work,[Status] 绘画主题。
Jan Niceo Eritreo,Gian Vittorio Rossi (Janus Nicius Erythraeus),Person,[Disambiguation] 17世纪作家，笔名 Janus Nicius Erythraeus。
Jesuit Archives,Jesuit Archives (Archivum Romanum Societatis Iesu),Organization,[Category Fix] 误标为人物。
Joachim von Derschau,Hans Joachim von Derschau,Person,[Status] 普鲁士外交官/收藏家。
Job and Wife and Isaac blessing Jacob,Job and Wife / Isaac Blessing Jacob (Paintings),Work,[Status] 绘画主题。
John Bryan Shipley,John Bryan Shipley,Person,[Status] 历史学家。
John Edward Sweetman,John Edward Sweetman,Person,[Category Fix] 误标为地点。
Joint caricature of Simonelli and Mola,Joint Caricature of Simonelli and Mola,Work,[Category Fix] 误标为人物/重复。
Joint caricature of Simonelli and Mola,Joint Caricature of Simonelli and Mola,Work,[Duplicate] 重复。
Joseph Valfrey,Joseph Valfrey,Person,[Status] 可能是法国外交官 Valfrey。
"Juno, Goddess of Air","Juno, Goddess of Air (Painting)",Work,[Category Fix] 误标为人物。
Jupiter among the Corybantes,Jupiter among the Corybantes (Painting),Work,[Status] 绘画主题。
Jupiter giving Suck,Jupiter suckled by the Goat Amalthea (Painting),Work,"[Review] 可能是 ""Jupiter giving Suck"" (不准确描述) -> ""Infant Jupiter suckled...""。"
Jupiter handed over by Cybele to the Corybantes to be Fed,Jupiter handed over by Cybele... (Painting),Work,[Category Fix] 误标为人物。
Jupiter sending down his Thunder bolts on the Gods,Jupiter sending down his Thunderbolts... (Painting),Work,[Status] 绘画主题。
Solomon Bathing,Bathsheba Bathing (Solomon?),Work,"[Review] ""Solomon Bathing"" 极罕见，极可能是 ""Bathsheba Bathing"" (Solomon's mother) 的错误描述，或 ""Solomon and Sheba""? 暂保留原义但标记存疑。"
Kufürst Clemens August,Kurfürst Clemens August,Person,"[OCR Fix] ""Kuf邦rst"" -> ""Kurfürst""。科隆选帝侯。误标为作品。"
L'Inondazione del Tevere,L'Inondazione del Tevere (Painting/Event),Work,[Status] 台伯河洪水。
"La Beata Vergine in Egitto, e San Giuseppe",La Beata Vergine in Egitto... (Painting),Work,[Status] 逃往埃及主题。
La Burla del Piovano Arlotto,La Burla del Piovano Arlotto (Painting),Work,[Category Fix] 误标为人物。Volterrano 的画作。
La Chiesa di Gesù Cristo vendicata ne' suoi contrasegni ne' suoi dogmi,La Chiesa di Gesù Cristo vendicata... (Book),Work,"[OCR Fix] ""Ges迄"" -> ""Gesù""。书名。"
La Fiera dell' Impruneta,La Fiera dell'Impruneta (Engraving),Work,[Status] Callot 的版画。
La Galleria di Minervat VI,La Galleria di Minerva (Journal),Work,"[OCR Fix] ""Minervat"" -> ""Minerva""。17世纪威尼斯期刊。"
La rissa all'Ambasciata di Spagna,La rissa all'Ambasciata di Spagna (Painting),Work,[Status] 绘画主题 (西班牙大使馆的斗殴)。
Landscape with Man fleeing from Serpent,Landscape with Man fleeing from Serpent (Painting),Work,[Status] Poussin?
Landscape with Man killed by a Snake,Landscape with Man killed by a Snake (Painting),Work,[Status] Poussin。
Landscape with Rural Dance,Landscape with Rural Dance (Painting),Work,[Category Fix] 误标为地点。Lorrain?
Landscape with Woman washing her Feet,Landscape with Woman washing her Feet (Painting),Work,[Status] Poussin。
Lazzaro Rivera,Lazzaro Riviera,Person,"[OCR Fix] ""Rivera"" -> ""Riviera"" (可能)。"
Le Artiche vanno per le vie nella citta di Venezia,Le Artiche vanno per le vie... (Print series?),Work,"[OCR Fix] ""Artiche"" -> ""Antiche""? ""Arti che vanno..."" (Street Cries of Venice)? 极可能是 ""Le Arti che vanno..."" (Zompini)。"
Le Fabbriche e Vedute di Venetia,Le Fabbriche e Vedute di Venetia (Book),Work,[Status] Luca Carlevarijs 的图录。
Leonardo Pasqueti,Leonardo Pasquetti,Person,"[OCR Fix] ""Pasqueti"" -> ""Pasquetti""。误标为作品。"
Leto turning the Shepherds into Frogs,Leto turning the Shepherds into Frogs (Painting),Work,[Category Fix] 误标为人物。
Library of King's College,King's College Library,Place,[Status] 剑桥。
Life of Christ series,Life of Christ Series (Paintings/Prints),Work,[Status] 通用描述。
Lina Livan,Lina Livan,Person,"[Status] 现代学者 (Lina Livan, 编辑)。"
Lita-Rose Betcherman,Lita-Rose Betcherman,Person,[Category Fix] 误标为作品。作者。
Louis Bordet,Louis Bordet,Person,[Category Fix] 误标为地点。法国领事?
Luca Bartolotti,Luca Bartolotti,Person,[Category Fix] 误标为作品。
Luca Ombrosi,Luca Ombrosi,Person,[Status] 19世纪作者。
Lucchese community,Lucchese Community,Group,[Category Fix] 误标为人物。
Lucien Marcheix,Lucien Marcheix,Person,[Status] 作者。
Luigi Teodoli,Luigi Teodoli,Person,[Status] 罗马贵族。
M. de Bordeaux,M. de Bordeaux,Person,[Status] 法国代理人?
Madonna of the Rosary with Saints Dominic and Catherine,Madonna of the Rosary... (Painting),Work,[Category Fix] 误标为地点。
Maestro Valerio Antonio Zarzabini,Maestro Valerio Antonio Zarzabini,Person,[Status] 威尼斯乐师?
Main Dome Frescoes of the Church of the Gesù,Main Dome Frescoes of the Gesù,Work,"[OCR Fix] ""Ges迄"" -> ""Gesù""。Baciccio 的壁画。误标为人物。"
Malborough Fine Art Ltd,Marlborough Fine Art,Organization,"[OCR Fix] ""Malborough"" -> ""Marlborough""。画廊。"
Marchigian town,Marchigian Town (Landscape),Work,[Category Fix] 误标为作品。可能是画作描述。
Palazzo Marco Foscarini's,Palazzo Foscarini (San Stae),Place,[Standardization] 马可·福斯卡里尼的宫殿。
Maresca di Serracapmula,Maresca di Serracapriola,Family/Person,"[OCR Fix] ""Serracapmula"" -> ""Serracapriola""。那不勒斯贵族。"
Maria Elena Ghelli,Maria Elena Ghelli,Person,[Category Fix] 误标为地点。可能是学者或历史人物。
Maria Pamfili,Maria Pamphilj,Person,[Category Fix] 误标为地点。
Mario D'Orsi,Mario D'Orsi,Person,[Category Fix] 误标为地点。艺术史学家。
Marriage Allegory of the Rezzonico Family,Marriage Allegory of the Rezzonico Family (Fresco),Work,[Category Fix] 误标为人物。Tiepolo 的作品。
Marshal Schulenburg,Johann Matthias von der Schulenburg,Person,[Standardization] 舒伦堡元帅。
Martirii patiti da Santi Martiri per La confessione di Christo,Martirii patiti da Santi Martiri... (Book/Print),Work,[Category Fix] 误标为人物。Antonio Gallonio 的书?
María Antonieta Gatas,María Antonieta Gatas,Person,[OCR Fix] 修复乱码。
Matteo del Teglia,Matteo del Teglia,Person,[Category Fix] 误标为作品。佛罗伦萨外交官/官员。
Mattia Rosichino,Mattia Rosichino,Person,[Category Fix] 误标为作品。17世纪 Palazzo Barberini 的管理员/向导。
Max Steinbart,Max Steinbart,Person,[Category Fix] 误标为作品。收藏家。
Melle Calberg,Mademoiselle Calberg,Person,[Status] 可能是收藏家/人物。
Mercury awaking Aeneas,Mercury awaking Aeneas (Painting),Work,[Category Fix] 误标为人物。
Messrs T. and A. Constable Ltd.,T. and A. Constable,Organization,[Category Fix] 误标为人物。印刷商/出版商。
Michele Lauretano,Michele Lauretano,Person,[Status] 耶稣会士，罗马日耳曼学院院长。
Mina Pajes Merriman,Mina Pajes Merriman,Person,[Category Fix] 误标为人物。艺术史学家 (Guercino 专家)。
Minori Osservanti,Order of Friars Minor (Observants),Organization,[Category Fix] 误标为作品。方济各会分支。
Minori Osservanti,Order of Friars Minor (Observants),Organization,[Duplicate] 重复。
Mississippi Gallery,Mississippi Gallery,Organization/Place,[Category Fix] 误标为人物。
Modello for fresco on vault of San Ignazio,Modello for fresco on vault of Sant'Ignazio,Work,[Category Fix] 误标为人物。Pozzo 的作品。
Modello for the Glory of San Luigi Gonzaga,Modello for the Glory of San Luigi Gonzaga,Work,[Category Fix] 误标为地点。Pozzo 的作品。
Mola painting the portrait of Alexander VII,Mola painting the portrait of Alexander VII (Painting),Work,[Category Fix] 误标为人物。G.B. Gaulli 的画作? 或者是 Mola 本人的轶事。
Monastery of Jeronymites,Monastery of the Hieronymites (Belem/Madrid),Place,[Category Fix] 误标为地点。
Montpellier Library,Bibliothèque de Montpellier,Place,[Category Fix] 误标为作品。
Monument to Doge Giovanni Pesaro in Church of the Frari,Monument to Doge Giovanni Pesaro,Work,[Category Fix] 误标为作品。Longhena 的作品。
Monument to Gregory XV,Monument to Gregory XV,Work,[Category Fix] 误标为人物。
Monument to the 1st of Marlborough,Monument to the 1st Duke of Marlborough,Work,[Category Fix] 误标为地点。Rysbrack 的作品。
Mosaic from the Temple of Fortune at Praeneste,Nile Mosaic of Palestrina,Work,[Category Fix] 误标为地点。
Moses strikin the Rock,Moses Striking the Rock (Painting),Work,"[OCR Fix] ""strikin"" -> ""Striking""。"
Mostra dei Remondini,Mostra dei Remondini (Exhibition),Event/Work,[Category Fix] 误标为人物。雷蒙迪尼印刷展。
Mostra del Tiepolo,Mostra del Tiepolo (Exhibition),Event/Work,[Category Fix] 误标为人物。提埃坡罗展。
Mourners at Tomb of Francesco Algarotti in Pisa,Mourners at Tomb of Francesco Algarotti (Print/Drawing),Work,[Status] 艺术主题。
Mucius Scaevola at the Altar,Mucius Scaevola at the Altar (Painting),Work,[Status] 绘画主题。
Murals at Windsor Castle,Murals at Windsor Castle,Work,[Status] Verrio 等人的作品。
Murals for the Vienna Residence,Murals for the Vienna Residence,Work,[Status] 通用描述。
Murder of Cain,Murder of Cain (Painting/Sculpture),Work,[Status] 艺术主题 (Cain killed by Lamech?)。
Museo della Torre di San Marco,Museo della Torre di San Marco,Organization,[Status] 博物馆。
Napoleonic government,Napoleonic Government,Organization/Concept,[Status] 历史时期/政府。
Naudaeana,Naudaeana (Book),Work,[Status] Gabriel Naudé 的言行录。
Nella Stamperia Albrizziana,Stamperia Albrizziana,Organization,[Category Fix] 误标为作品。威尼斯出版社 (Albrizzi)。
Neptune Paying Homage to Venice,Neptune Paying Homage to Venice (Painting),Work,[Category Fix] 误标为地点。Tiepolo 的作品。
Nero being shown the Corpse of Seneca,Nero being shown the Corpse of Seneca (Painting),Work,[Category Fix] 误标为地点。
Newtonianismo cover illustration,Newtonianismo per le dame (Frontispiece),Work,[Category Fix] 误标为地点。Algarotti 的书。
Nymphenburg Gardens,Nymphenburg Palace Gardens,Place,[Category Fix] 误标为地点。
Odomenigo Lelonotti da Fanano,Domenico Leonotti da Fanano,Person,"[OCR Fix] ""Odomenigo"" -> ""Domenico"", ""Lelonotti"" -> ""Leonotti"" (可能)。"
Old man with a Pipe and Tobacco Pouch,Old Man with a Pipe... (Painting),Work,[Status] 风俗画。
Oratorian Chiesa Nuova,Chiesa Nuova (Santa Maria in Vallicella),Place,[Disambiguation] 罗马奥拉托利会教堂。
Oriental Customs,Oriental Customs (Book?),Work,[Category Fix] 误标为地点。可能是 Samuel Burder 的书或绘画主题。
Oriental heads,Oriental Heads (Etchings),Work,[Category Fix] 误标为人物。Castiglione/Tiepolo/Rembrandt。
Original proposals for reclaiming Prà della Valle,Proposals for Reclaiming Prato della Valle,Work,"[OCR Fix] ""Pr角 de?a Va?e"" -> ""Prato della Valle""。"
Ornella Osti,Ornella Osti,Person,[Category Fix] 误标为地点。现代学者。
Osvaldo B?hm Photograph Collection: Art and Architecture of Venice,Osvaldo Böhm Photograph Collection,Collection/Work,"[OCR Fix] ""B?hm"" -> ""Böhm""。"
Ottavio Novaroli,Ottavio Novaroli,Person,[Category Fix] 误标为作品。见前文 Novaroli。
"Où sont des pasteurs, des bergères et des moutons",Où sont des pasteurs... (Song/Text),Work,[OCR Fix] 修复乱码。可能是歌词或画作标题。
P. Carlo de Co: ti Lodoli Veneziano forse il Socrate Architetto,P. Carlo de' Conti Lodoli Veneziano...,Work,"[OCR Fix] 可能是关于 Carlo Lodoli 的版画或书籍标题 (""...forse il Socrate Architetto"")。"
Paintings for the Church in Salamanca,Paintings for the Church in Salamanca,Work,[Category Fix] 误标为地点。
Palace at Valmontone,Palazzo Doria-Pamphilj (Valmontone),Place,[Category Fix] 误标为人物。
Palazzo Taddeo,Palazzo Taddeo,Place,[Category Fix] 误标为作品。可能是 Palazzo Taddei?
Pamfili Moncalto,Pamphilj-Montalto,Family/Person,"[OCR Fix] ""Moncalto"" -> ""Montalto""。可能是 Camillo Pamphilj 与 Montalto 家族的关系。"
Paola Berselli Ambri,Paola Berselli Ambri,Person,[Category Fix] 误标为作品。学者。
Parish of San Marco,Parish of San Marco,Organization,[Category Fix] 误标为地点。
Parma gallery,Galleria Nazionale di Parma,Organization,[Category Fix] 误标为地点。
Paul Varnish,Paul Varnish,Person,[Category Fix] 误标为人物。可能指 Paul Vernet (Varnish 是旧式英语化拼写)? 或者是清漆种类? 需审慎。
Pendentive Dome Frescoes of the Church of the Gesù,Pendentive Frescoes (Gesù),Work,"[OCR Fix] ""Ges迄"" -> ""Gesù""。Baciccio 的作品。"
Philippe Zygodon,Philippe Zygodon,Person,"[Review] 名字极罕见，""Zygodon"" 是苔藓属名。可能是 OCR 严重错误。待查。"
Picture Exhibition at Church of San Rocco,Picture Exhibition at San Rocco,Event,[Category Fix] 误标为地点。威尼斯著名的年度画展。
Pierre Motteux and his Family,Pierre Motteux and his Family (Painting),Work,[Category Fix] 误标为人物。肖像画。
Pietro Zuccoli,Pietro Zuccoli,Person,[Category Fix] 误标为作品。
Pinacoteca at Lucca,Pinacoteca Nazionale di Lucca,Organization,[Category Fix] 误标为人物。
Leo and Attila,Meeting of Leo the Great and Attila (Fresco),Work,[Status] Raphael 的壁画。
Thomas Aquinas and Vincent Ferrer Pius V,"St. Thomas Aquinas, St. Vincent Ferrer, and St. Pius V (Painting)",Work,[Status] 塞巴斯蒂安·里奇?
Portrait of Field Marshal Schulenburg,Portrait of Field Marshal Schulenburg,Work,[Category Fix] 误标为人物。
Portrait of John Law,Portrait of John Law,Work,[Category Fix] 误标为地点。
Portrait of John of Poland,Portrait of King John III Sobieski,Work,[Category Fix] 误标为人物。
Portrait of Madame Rosenberg,Portrait of Madame Rosenberg (Justine Wynne?),Work,[Category Fix] 误标为人物。
Portrait of Ottaviano Prati,Portrait of Ottaviano Prati,Work,[Status]
Portrait of Pierre Motteux,Portrait of Pierre Motteux,Work,[Status]
Portrait of Streit's Father,Portrait of Streit's Father,Work,[Category Fix] 误标为人物。
Portrait of Streit's Mother,Portrait of Streit's Mother,Work,[Status]
Portrait of Streit's Sister,Portrait of Streit's Sister,Work,[Status]
Portrait of Teodoro Correr,Portrait of Teodoro Correr,Work,[Status]
Portrait of a Cook,Portrait of a Cook,Work,[Status]
Portrait of the of Prussia,Portrait of the King of Prussia,Work,"[OCR Fix] 补全 ""King""。"
Portrait of the artist and his publisher Albrizzi,Portrait of the Artist and his Publisher Albrizzi,Work,[Status] Piazzetta?
Portraits of Venetian Cardinals,Portraits of Venetian Cardinals,Work,[Status]
Portraits of Venetian Popes,Portraits of Venetian Popes,Work,[Status]
Portraits of the and of Monterrey,Portraits of the Count of Monterrey,Work,"[OCR Fix] 补全 ""Count""。"
Portraits of the Doges of Venice,Portraits of the Doges of Venice,Work,[Status]
Powers of Eloquence,Powers of Eloquence (Painting),Work,[Status] Tiepolo (Würzburg)?
Presenzini Cigoli,Presenzini Cigoli,Person,"[Review] 可能是 ""P. Cigoli"" (画家 Cigoli) 的 OCR 错误与 ""Presenzini"" (人名) 的粘连?"
Protestant cemetery of San Cristoforo,Protestant Cemetery of San Cristoforo,Place,[Category Fix] 误标为人物。威尼斯墓地。
Provencal antiquary Peiresc,Nicolas-Claude Fabri de Peiresc,Person,[Category Fix] 误标为作品。
"Quadi, che rappresentano fatti della Sacra Scrittura",Quadri che rappresentano fatti...,Work,"[OCR Fix] ""Quadi"" -> ""Quadri""。Pietro Monaco 的图录描述。"
Jezebel torn to pieces by Dogs,Jezebel torn to pieces by Dogs (Painting),Work,[Category Fix] 误标为人物。Luca Giordano?
Raccolta di centododici stampe,Raccolta di centododici stampe... (Pietro Monaco),Work,[Category Fix] 误标为地点。Pietro Monaco 的版画集。
Raffaelo Marchesi,Raffaello Marchesi,Person,[Category Fix] 误标为地点。
Raphael Loggias,Raphael Loggias (Vatican),Place/Work,[Status] 梵蒂冈凉廊。
Regulus killed by the Carthaginians,Regulus killed by the Carthaginians (Painting),Work,[Category Fix] 误标为人物。Salvator Rosa 的画作。
Relief of Field Marshal Schulenburg,Relief of Field Marshal Schulenburg (Sculpture),Work,[Status] 纪念物。
Religion trampling on Heresy,Religion Trampling on Heresy (Statue/Painting),Work,[Category Fix] 误标为人物。Le Gros 的雕塑或 Legnanino 的画。
Religious Decorations at Whitehall,Religious Decorations at Whitehall (Chapel Royal),Work,[Category Fix] 误标为地点。Verrio/Rubens 等人的装饰。
Renier Zeno,Reniero Zeno,Person,[Category Fix] 误标为作品。威尼斯总督。
Ritratto con aistallo,Ritratto con cristallo (Portrait with Crystal?),Work,"[OCR Fix] ""aistallo"" -> ""cristallo""? 或者是特定人名/物名。"
Robert Alexander Waller Fund,Robert Alexander Waller Fund,Organization/Concept,[Category Fix] 误标为作品。资金来源 (Art Institute of Chicago)。
Roberto Lanetti,Roberto Lanetti,Person,[Category Fix] 误标为作品。
Rococo Pavilion,Rococo Pavilion,Place,[Category Fix] 误标为人物。
Romulm and Remus,Romulus and Remus (Painting/Statue),Work,"[OCR Fix] ""Romulm"" -> ""Romulus""。"
Rosalba Lorenzetti,Rosalba Lorenzetti,Person,[Category Fix] 误标为地点。
Ruins of the Church of the Cross,Ruins of the Church of the Cross (Drawing/Painting),Work,[Category Fix] 误标为人物。
Rules of the Order,Rules of the Order,Work/Concept,[Category Fix] 误标为地点。修会会规。
San Gerolamo nel Deserto,San Gerolamo nel Deserto (Painting),Work,[Status] 圣哲罗姆在沙漠中。
SanGiovanni Decollato,San Giovanni Decollato,Place,[OCR Fix] 补全空格。罗马或威尼斯教堂。
SanMaria della Concezione,Santa Maria della Concezione,Place,"[OCR Fix] 补全空格 ""Santa""。"
SanMaria della Vittoria,Santa Maria della Vittoria,Place,"[OCR Fix] 补全空格 ""Santa""。"
SSan Cosma e Damiano alia Giudecca,Santi Cosma e Damiano alla Giudecca,Place,"[OCR Fix] ""SSan"" -> ""Santi"", ""alia"" -> ""alla""。威尼斯教堂。"
Sacrifices to Priapus,Sacrifices to Priapus (Sculpture/Painting),Work,[Category Fix] 误标为地点。
Saints Peter and Paul Baptising in the Mamertine Prison,Saints Peter and Paul Baptising... (Painting),Work,[Category Fix] 误标为地点。
Salumieri Guild,Guild of Salumieri (Luganegheri),Organization,[Category Fix] 误标为地点。威尼斯行会 (Scuola dei Luganegheri)。
Samson killing a thousand with a jawbone,Samson Killing the Philistines (Painting/Sculpture),Work,[Category Fix] 误标为地点。
San Niccolo al Lido,San Niccolò al Lido,Place,[Category Fix] 误标为作品。威尼斯教堂。
Scenes from the Life of Scipio Africanus,Scenes from the Life of Scipio Africanus (Series),Work,[Status] 绘画系列 (如 Palazzo Corner)。
Scenes of Christian Warfare,Scenes of Christian Warfare,Work,[Category Fix] 误标为地点。
Scenes of Venetian Noble Life,Scenes of Venetian Noble Life (Paintings),Work,[Status] Longhi 等人的风俗画。
School of Carlo Cignani,School of Carlo Cignani,Group/Style,[Category Fix] 误标为地点。
Sculptures for the Cathedral,Sculptures for the Cathedral,Work,[Status] 通用描述。
Sebastiano Molino,Sebastiano Molino,Person,[Category Fix] 误标为作品。威尼斯船长?
Series of Egyptian Figures,Series of Egyptian Figures (Drawings/Prints),Work,[Status] 通用描述。
Series of Etruscan Phallic Symbols,Series of Etruscan Phallic Symbols,Work,[Category Fix] 误标为地点。D'Hancarville?
Service de Documentation Photographique des Musees Nationaux,Service de Documentation Photographique...,Organization,[Category Fix] 误标为作品。法国博物馆摄影文献处。
"Sezione Notarile, Venice",Archivio di Stato di Venezia (Sezione Notarile),Organization,[Category Fix] 误标为人物。档案部门。
Sheila Rinehart,Sheila Rinehart,Person,[Category Fix] 误标为作品。学者。
Silvia Meloni Trkulja,Silvia Meloni Trkulja,Person,[Category Fix] 误标为作品。艺术史学家。
Silvio Ubaldi,Silvio Ubaldi,Person,[Category Fix] 误标为地点。
Society of Arcadia,Accademia dell'Arcadia,Organization,[Category Fix] 误标为地点。
Sophronia and Olindo,Sophronia and Olindo (Painting),Work,[Category Fix] 误标为人物。Tasso 诗歌主题。
Soprintendenza alle Gallerie,Soprintendenza alle Gallerie,Organization,[Category Fix] 误标为人物。
St Francis in Assisi,St Francis in Assisi (Painting),Work,[Category Fix] 误标为人物。
St Stanislas Kostka,St Stanislaus Kostka (Statue/Painting),Work,[Category Fix] 误标为地点。Le Gros/Odorico 雕塑。
St Stanislas Kostka on his deathbed,St Stanislaus Kostka on his Deathbed (Statue),Work,[Status] Le Gros。
St Teresa wounded by Christ,St Teresa Wounded by Christ (Ecstasy),Work,[Category Fix] 误标为地点。
Saint Andrew's Temple Church,Saint Andrew's Temple Church (Holborn),Place,[Status] 伦敦教堂。
Saint Dominic instituting the Rosary,Saint Dominic Instituting the Rosary (Painting),Work,[Status] Tiepolo。
Saint Eustace hunting,Saint Eustace Hunting (Painting),Work,[Status]
Saint Helen finding the True Cross,Saint Helen Finding the True Cross (Painting),Work,[Status] Tiepolo/Sebastiano Ricci。
Saint John and Saint Charles Borromeo,Saint John and Saint Charles Borromeo (Painting),Work,[Category Fix] 误标为地点。
Saint Peter receiving the Keys,Saint Peter Receiving the Keys (Painting),Work,[Status]
Saint Philip Neri and the Virgin,Saint Philip Neri and the Virgin (Painting),Work,[Status]
Saint Romualdo,Saint Romuald (Painting/Statue),Work,[Status] 绘画主题。
Stamperia Albrizziana,Stamperia Albrizziana,Organization,[Category Fix] 误标为作品。威尼斯出版社。
State Squidition,State Inquisition (Inquisitori di Stato),Organization,"[OCR Fix] ""Squidition"" -> ""Inquisition""。威尼斯国家裁判所。"
Statue of Antenor,Statue of Antenor,Work,[Status] 帕多瓦的 Antenor 墓/雕像。
Statue of Field Marshal Schulenburg,Statue of Field Marshal Schulenburg,Work,[Status] Antonio Corradini 的雕塑。
Statue of Field Marshal Schulenburg,Statue of Field Marshal Schulenburg,Work,[Duplicate] 重复。
Statues for the Lateran Basilica,Statues for the Lateran Basilica (Apostles),Work,[Category Fix] 误标为地点。Rusconi/Le Gros 等人的雕塑。
Stefano Sadani,Stefano Sadani,Person,[Category Fix] 误标为作品。
Strength protecting Wisdom,Strength Protecting Wisdom (Painting),Work,[Status] Tiepolo。
Sulla maniera di Zorzone,Sulla maniera di Zorzone (Essay/Book),Work,[Status] 关于 Giorgione 风格的论著 (Lanzi?)。
Tarantella Dancers,Tarantella Dancers (Painting),Work,[Status] 风俗画。
Tarquin and Lucretia and a Joseph,Tarquin and Lucretia / Joseph (Paintings),Work,[Category Fix] 误标为人物。
Tavole Barberini,Tavole Barberini (Barberini Panels),Work,[Status] 著名的文艺复兴画板。
Tempest with Pyramus and Thisbe,Tempest with Pyramus and Thisbe (Painting),Work,[Status] Poussin。
Teodora dal Pozzo,Teodora dal Pozzo,Person,[Category Fix] 误标为作品。Cassiano dal Pozzo 的亲属?
Teresa Maria Marcellino,Teresa Maria Marcellino,Person,[Category Fix] 误标为作品。
Palazzo The Arrival at the,The Arrival at the Palazzo (Painting),Work,[OCR Fix] 倒装修复。
The Assumption of the Blessed Luigi Gonzaga,The Assumption of the Blessed Luigi Gonzaga (Painting),Work,[Status]
The Beheading of St Paul,The Beheading of St Paul (Painting),Work,[Category Fix] 误标为人物。Algardi (浮雕) 或绘画。
The Capture of Syracuse with the Death of Archimedes,The Capture of Syracuse... (Painting),Work,[Category Fix] 误标为人物。
The Death of St Francis Xavier,The Death of St Francis Xavier (Painting),Work,[Category Fix] 误标为地点。Baciccio/Maratta。
The Deposition from the Cross/Deposition,The Deposition from the Cross (Painting),Work,[Status]
The Ecstasy of St Margaret,The Ecstasy of St Margaret of Cortona (Painting),Work,[Status] Lanfranco。
