Refined_Formal_Name,Original-QID,Second-Query_QID,Original-Refined_Category,Original-Status/Notes,Second-Query_Label,Second-Query_Description,Second-Query_Logic
Gloria Chiarini de Anna,,,Person,[Validation] 现代学者。,,,No results found
Glorification of the Pisani Family,,,Work,[Validation] 提埃坡罗壁画 (Villa Pisani)。,,,No results found
Glory of Venice,,,Concept/Work,[Validation] 展览标题或概念 (Gory of Venice: Art in the Eighteenth Century)。,,,No results found
God creating the Angels / Parnassus,,,Work,[Validation] 拉斐尔签字厅壁画 (The Parnassus 和天顶画)。,,,No results found
Godolphin,,Q102218100,Person/Work,[Ambiguity] 可能是 Godolphin Arabian (画作) 或 Earl of Godolphin (人)。结合 E22，可能是画作。,Godolphin,given name,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Goffredo Wals,Q3109847,Q3109847,Person,[Validation] 风景画家 (Agostino Tassi 的学生)。,Goffredo Wals,German baroque painter (1595-1638),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Goliath,Q192785,Q46998500,Person,[Validation] 圣经人物。,Goliath,family name,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
"Gomer Berry, 1st Viscount Kemsley",Q609410,Q609410,Person,[Validation] 英国报业大亨/收藏家。,"Gomer Berry, 1st Viscount Kemsley",British newspaper publisher and Viscount (1883-1968),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Gonzaga (Family),,Q241532,Group,[Validation] 曼图亚统治家族。,Gonzaga,Wikipedia Page Match,Advanced Match via 'Gonzaga': Score 105.0 (Neutral)
Gordon Albion,,,Person,[Validation] 历史学家。,,,No results found
Goschwin Nickel,Q532591,Q532591,Person,[Validation] 耶稣会总会长。,Goschwin Nickel,German Jesuit priest (1584-1664),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Goswin Nickel,,Q532591,Person,耶稣会总会长。,Goschwin Nickel,German Jesuit priest (1584-1664),"High Confidence - Score: 112.9 (Sim: 0.93, Cat: Match)"
Gran Tempio Antico,,,Work,[Validation] 可能是画作标题 (The Great Ancient Temple) 或描述。,,,No results found
Grand Canal (Venice),,Q60742064,Place,[Validation] 威尼斯大运河。,Grand Canal (Venice) architecture,"Central water course in Venice, Italy","Medium Confidence - Score: 75.5 (Sim: 0.75, Cat: Neutral)"
Grand Tour (English tourists),,Q6682302,Group/Concept,[Validation] 群体/现象。,Grand Tour,journey around Europe for cultural education,Advanced Match via 'Grand Tour': Score 100.0 (Neutral)
Grassi (Family),,Q23038852,Group,[Validation] 威尼斯家族 (Palazzo Grassi)。,Grassi,Wikipedia Page Match,Advanced Match via 'Grassi': Score 105.0 (Neutral)
Grassi Collection,,,Organization/Group,[Validation] 艺术收藏。,,,No results found
Great Council of Venice,Q583190,Q583190,Organization,[Validation] 威尼斯大议会 (Maggior Consiglio)。,Great Council of Venice,political organ of the Republic of Venice between 1172 and 1797,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Great Ormond Street,Q67221886,Q67221886,Place,[Validation] 伦敦街道。,Great Ormond Street,street in the London Borough of Camden,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Great Witley Church (St Michael and All Angels),,,Place,"[OCR Fix] ""Great WitleyWatson"" -> ""Great Witley"" (Watson可能是作者名误粘)。",,,No results found
Gregorio De Ferrari,Q2306932,Q2306932,Person,[Validation] 热那亚画家。,Gregorio De Ferrari,Italian painter (1647-1726),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Gregorio Lazzarini,Q1384461,Q1384461,Person,[Validation] 威尼斯画家 (Tiepolo的老师)。,Gregorio Lazzarini,Italian painter (1657-1730),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Gregorio de Andrés,,Q87591265,Person,[Validation] 学者 (El Escorial图书馆员)。,Gregorio de Andrés Martínez,Spanish classical philologist (1919-2005),"Medium Confidence - Score: 80.0 (Sim: 0.80, Cat: Neutral)"
Gregory VII,Q133063,Q101866,Person,[Validation] 教皇格里高利七世。,Gregory VIII,Pope of the Roman Catholic Church in 1187,"High Confidence - Score: 115.7 (Sim: 0.96, Cat: Match)"
Gregory XIII,Q83029,Q83029,Person,[Disambiguation] 教皇格里高利十三世。 | [Validation] 教皇格里高利十三世。,Gregory XIII,pope of the Catholic Church from 1572 to 1585 (1502–1585),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Gregory XV,,Q132692,Person,[Disambiguation] 亚历山德罗·卢多维西 (教皇格里高利十五世)。 | [Disambiguation] 教皇格里高利十五世。 | [Validation] 教皇格里高利十五世。,Gregory XV,pope of the Catholic Church from 1621 to 1623 (1554–1623),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
"Grey Brydges, 5th Baron Chandos",Q5608123,Q5608123,Person,"[Disambiguation] ""King of the Cotswolds""。 | [Validation] 英国贵族。 | [Validation] 贵族。","Grey Brydges, 5th Baron Chandos",English politician and peer,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Grimani (Cardinal),,Q54878525,Person,[Context] 可能是 Domenico Grimani 或其他。,Grimani,family name,Advanced Match via 'Grimani': Score 100.0 (Neutral)
Grimani (Doge),,Q54878525,Person,"[Context] 可能是 Antonio Grimani, Marino Grimani, 或 Pietro Grimani。",Grimani,family name,Advanced Match via 'Grimani': Score 100.0 (Neutral)
Grinling Gibbons,Q610462,Q610462,Person,[Validation] 雕刻家。,Grinling Gibbons,Anglo-Dutch sculptor and wood carver (1648-1721),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Guardian Angel,,Q134583151,Work/Concept,[Disambiguation] 守护天使（主题）。,Guardian Angel,vocal track by Wahlstr?ms; 2010 studio recording,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Guarino Guarini,Q323281,Q323281,Person,[Validation] 建筑师。,Guarino Guarini,Italian mathematician and architect (1624-1683),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Guercino,,Q334262,Person,[Category Fix] 原文误标为 Place。 | [Disambiguation] 顾尔奇诺。,Guercino,painter of the Italian 17th century (1591–1666),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Guglielmo Bauer,,Q3119268,Person,[Validation] 德国/意大利金匠? 可能是 Wilhelm Bauer。待定。,Guglielmo Berchet,Wikipedia Page Match,Advanced Match via 'Guglielmo Bauer': Score 86.2 (Neutral)
Guglielmo Berchet,Q3119268,Q3119268,Person,[Validation] 历史学家 (19世纪)。,Guglielmo Berchet,Italian politician and historian,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Guglielmo Biasutti,Q104690120,Q104690120,Person,[Validation] 历史学家 (20世纪)。,Guglielmo Biasutti,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Guglielmo Della Valle,Q26792385,Q26792385,Person,[Validation] 艺术写作者 (Lettere sanesi)。,Guglielmo Della Valle,architect from Italy,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Guglielmo della Porta,Q1623328,Q115362017,Person,[Validation] 雕塑家。,Guglielmo Della Porta,Italian lawyer (1880-),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Guidalocti Franchini,,,Person,"[Check Original] 极生僻。可能是 ""Guidalotti Franchini""? 待定。",,,No results found
Guido Bentivoglio,Q1364155,Q1364155,Person,[Category Fix] 原文误标为 Work。通常指 Guido Bentivoglio 枢机 (凡戴克肖像)。 | [Validation] 枢机主教。,Guido Bentivoglio,Italian cardinal and diplomat (1579–1644),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Guido Biagi,Q34149301,Q34149301,Person,[Validation] 图书馆员/学者。,Guido Biagi,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Guido Cagnacci,Q2449649,Q2449649,Person,[Validation] 画家。,Guido Cagnacci,Italian painter (1601-1663),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Guido Corti,,Q3779221,Person,[Reconstruction] 现代圆号演奏家? 若在古代语境，可能是误拼。,Guido Carrillo,Wikipedia Page Match,Advanced Match via 'Guido Corti': Score 69.0 (Neutral)
Guido Reni,Q109061,Q109061,Person,[Validation] 著名画家。,Guido Reni,Bolognese painter (1575–1642),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Guido Zucchini,Q70587659,Q3779518,Person,[Validation] 博洛尼亚艺术史学家。,Guido Zucchini,Italian association football player (1930–2010),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Guidobaldo Abbatini,,Q282810,Person,[Validation] 画家 (Urban VIII时期的 mosaicist)。,Guido Ubaldo Abbatini,Italian Baroque painter (1600-1656),"High Confidence - Score: 115.0 (Sim: 0.95, Cat: Match)"
Guillaume Courtois (Il Borgognone),,Q1749032,Person,[Disambiguation] 纪尧姆·库尔图瓦。 | [Validation] 画家。,Guillaume Courtois,French painter of the Late Baroque (1628-1679),Advanced Match via 'Guillaume Courtois': Score 120.0 (Match)
Gustav Adolf Michaelis,Q95766,Q95766,Person,[Validation] 产科医生 (可能因艺术收藏或解剖学相关)。,Gustav Adolf Michaelis,German obstetrician (1798–1848),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Gustavo Brigante Colonna,,Q52158592,Person,[Validation] 现代作家。,Gustavo Brigante Colonna Angelini,"Italian journalist, poet and essayist (1878-1956)","Medium Confidence - Score: 84.2 (Sim: 0.84, Cat: Neutral)"
Gustavus Adolphus,Q52938,Q106088691,Person,[Validation] 同上。 | [Validation] 瑞典国王。,Gustavus Adolphus Myers,lawyer and author 1801-1869,"Medium Confidence - Score: 85.0 (Sim: 0.85, Cat: Neutral)"
Gustavus III,,Q52930,Person,[Validation] 瑞典国王。,Gustav III of Sweden,King of Sweden from 1771 to 1792 (1746–1792),"Medium Confidence - Score: 62.5 (Sim: 0.62, Cat: Neutral)"
Guy de Tervarent,,Q19766246,Person,[Validation] 图像学家 (Iconographer)。,Guy de Schoutheete de Tervarent,Belgian diplomat and iconographic encyclopedia compiler (1891-1969),"Medium Confidence - Score: 68.1 (Sim: 0.68, Cat: Neutral)"
Gyles Isham,Q16008048,Q76038239,Person,[Validation] 演员/古物学家。,Gyles Isham,Peerage person ID=486138,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Gymnasium zum Grauen Kloster,,Q328971,Organization,[Category Fix] 原文误标为 Place。柏林学校。,Evangelisches Gymnasium zum Grauen Kloster,"independent school in Berlin, Germany","Medium Confidence - Score: 80.0 (Sim: 0.80, Cat: Neutral)"
Gypsy Woman with Soldiers,,Q21675305,Work,[Validation] 绘画主题 (Valentin de Boulogne等)。,Gypsy Woman,painting by Ricardo Canals y Llambí,Advanced Match via 'Gypsy Woman': Score 120.0 (Match)
H. Clifford Smith,,Q52150617,Person,[Validation] V&A 策展人。,H. Clifford Smith,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Habsburg Collections (Prague),,,Organization/Group,[Validation] 鲁道夫二世收藏。,,,No results found
Habsburg Patronage,,,Concept,[Validation] 艺术赞助。,,,No results found
Hadrian,Q1427,Q1427,Person,[Validation] 罗马皇帝。,Hadrian,14th Roman Emperor (117–138),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Hagia Sophia,,Q12506,Place,圣索菲亚大教堂（君士坦丁堡）或威尼斯圣索菲亚教堂。,Hagia Sophia,"mosque, museum, and former church in Istanbul, Turkey","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Hampton Court Palace,Q205666,Q205666,Place,[Validation] 英国宫殿。,Hampton Court Palace,"historic royal palace in Richmond, Greater London","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Hanging Gardens of Babylon,Q41931,Q41931,Place,[Validation] 古迹。,Hanging Gardens of Babylon,one of the seven wonders of ancient world,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Hans Albrecht von Derschau?,,,Person,"[Check] ""Joachim von Derschau"" 可能是指普鲁士收藏家 Hans Albrecht von Derschau? 或者 Joachim von Sandrart 的亲戚? 搜索指向 19世纪收藏家 Hans Albrecht von Derschau。",,,No results found
Hans Posse,Q95937,Q95937,Person,[Validation] 博物馆馆长 (Hitler's curator)。,Hans Posse,"German art historian, Hitler's special representative for planned ""Führermuseum"" in Linz, Austria","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Hans Tietze,Q1425008,Q1425008,Person,[Validation] 艺术史学家。,Hans Tietze,Czech-Austrian-born American art historian (1880-1954),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Harold Acton,Q1363838,Q1363838,Person,[Validation] 作家/收藏家。,Harold Acton,British writer and scholar (1904–1994),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Harold Wethey,Q555678,Q555678,Person,[Validation] 艺术史学家 (Titian/Greco)。,Harold Wethey,American art historian and El Greco specialist (1902–1984),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Hebrew Women singing after crossing the Red Sea,,,Work,[Validation] 绘画主题。,,,No results found
Heinrich Brauer,Q18934987,Q1596820,Person,[Validation] 艺术史学家 (Bernini drawings)。,Heinrich Brauer,German politician (1860-1945),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Heinrich Zimmermann,Q1599421,Q1599420,Person,[Validation] 艺术史学家。,Heinrich Zimmermann,German politician (1893-1963),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Heinrich von Brühl,Q214949,Q214949,Person,[Disambiguation] 萨克森首相/收藏家。 | [Validation] 萨克森首相/收藏家。,Heinrich von Brühl,German statesman and art collector at the court of Saxony (1700-1763),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Helena (Empress),,Q348215,Person,[Disambiguation] 圣海伦娜 (君士坦丁之母)。,Helena,Wikipedia Page Match,Advanced Match via 'Helena': Score 105.0 (Neutral)
Henri de Bourbon (Prince of Condé),,Q3132228,Person,[Disambiguation] 孔代亲王。,Henri de Bourbon,1544 - 1611,Advanced Match via 'Henri de Bourbon': Score 100.0 (Neutral)
Henrietta Maria,,Q75673782,Person,[Validation] 查理一世王后。,Henrietta Maria Phillips,(died 1792),"Medium Confidence - Score: 76.9 (Sim: 0.77, Cat: Neutral)"
Henriette Adelaide of Savoy,Q57628,Q242928,Person,[Validation] 巴伐利亚选帝侯夫人。 | 巴伐利亚选帝侯夫人。,Princess Henriette Adelaide of Savoy,Italian princess,"Medium Confidence - Score: 85.7 (Sim: 0.86, Cat: Neutral)"
"Henry Arthur Herbert, 1st Earl of Powis",,Q52258066,Person,[Full Name] 英国贵族。,"Henry Arthur Herbert, 1st Earl of Powis (2nd creation) (1703-1772)",painting by attributed to Thomas Hudson,"Low Confidence - Score: 24.3 (Sim: 0.74, Cat: Conflict)"
Henry B. Wheatley,,Q5717646,Person,[Validation] 编辑/索引学家 (Pepys)。,Henry B. Wheatley,British writer (1838–1917),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
"Henry Bennet, 1st Earl of Arlington",,Q110095191,Person,[Disambiguation] 阿灵顿伯爵。 | [Validation] 英国政治家。,"Henry Bennet, 1st Earl of Arlington",engraving by anonymous artist or maker,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
"Henry Bentinck, 1st Duke of Portland",,Q126107,Person,[Disambiguation] 波特兰公爵。,"Henry Bentinck, 1st Duke of Portland",English peer and Governor of Jamaica (1682-1726),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Henry Fielding,Q34190,Q34190,Person,[Validation] 作家。,Henry Fielding,English novelist and dramatist (1707–1754),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
"Henry Fox-Strangways, 2nd Earl of Ilchester",Q5721520,Q5721520,Person,[Validation] 英国贵族。,"Henry Fox-Strangways, 2nd Earl of Ilchester",Earl of Ilchester (1747-1802),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
"Henry Howard, 4th Earl of Carlisle",,Q337661,Person,[Disambiguation] 收藏家。,"Henry Howard, 4th Earl of Carlisle",English noble and politician (1694-1758),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Henry I of France,Q178908,Q178908,Person,[Validation] 法国国王。,Henry I of France,king of the Franks from 1031 to 1060 (1008–1060),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Henry III of France,,Q53448,Person,[Category Fix] 原文误标为 Place。 | [Validation] 法国国王。,Henry III of France,King of France from 1574 to 1589,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Henry IV of France,,Q936976,Person,[Category Fix] 原文误标为 Place。,Henry IV of France,King of France and Navarre; first French monarch of the House of Bourbon (1553-1610),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Henry Prunières,Q3133019,Q3133019,Person,[Validation] 音乐学家 (Monteverdi/Lully)。,Henry Prunières,French music critic and historian (1886–1942),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
"Henry Scudamore, 3rd Duke of Beaufort",Q7585516,Q7585516,Person,[Validation] 英国贵族/收藏家。,"Henry Scudamore, 3rd Duke of Beaufort",English noble,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Heraclitus,Q41155,Q41155,Person,[Validation] 哲学家。,Heraclitus,Greek philosopher (late 6th/early 5th-century BC),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Herculaneum,Q178813,Q961668,Place,[Validation] 赫库兰尼姆古城。,Herculaneum,"city in Jefferson County, Missouri, United States","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Hercules,Q122248,Q10448,Person (Myth),[Validation] 大力神。,Hercules,constellation in the northern celestial hemisphere,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Hereward Lester Cooke,Q5738307,Q5738307,Person,[Validation] 博物馆策展人 (National Gallery of Art)。,Hereward Lester Cooke,American artist (1916-1973),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Herman van Swanevelt,Q875164,Q875164,Person,[Validation] 荷兰画家。 | 荷兰风景画家。,Herman van Swanevelt,Dutch painter (1603 – 1655),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Hermann Ritschl,Q126963641,Q126963641,Person,[Validation] 艺术写作者。,Hermann Ritschl,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Hermann Voss,Q1612982,Q96917,Person,[Validation] 艺术史学家 (Seicento)。,Hermann Voss,German anatomist (1894–1987),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Hermit,,Q189829,Person (Type),[Validation] 画作中的隐士形象。,hermit,person who lives in seclusion from society,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Herod the Great,Q51672,Q51672,Person,[Validation] 希律王。,Herod the Great,king of Judea from 37/6 BCE to 4/1 BCE,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Heroes approaching the Temple of Immortality,,,Work,[Validation] 绘画主题。,,,No results found
Hilda Finberg,,,Person,[Validation] 艺术史学家 (Canaletto)。,,,No results found
Historic e di Maniera Veneziana,,,Concept,[Validation] 艺术风格描述 (History painting in Venetian manner)。,,,No results found
Holy Roman Empire,Q12548,Q12548,Place/Concept,[Validation] 神圣罗马帝国。,Holy Roman Empire,multi-ethnic complex of territories in Western and Central Europe (800/962–1806),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Holy See,Q159583,Q159583,Organization,[Category Fix] 原文误标为 Place。教廷。,Holy See,jurisdiction of the Bishop of Rome,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Homer,Q11710021,Q2101592,Person,[Validation] 荷马。,Homer,"human settlement in Banks County, Georgia, United States of America","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Horace,,Q6197,Person,[Validation] 罗马诗人 (贺拉斯)。,Horace,Roman lyric poet (65 BC – 8 BC),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Horace Walpole,Q309903,Q309903,Person,[Validation] 英国作家/艺术史学家。,Horace Walpole,English writer and politician (1717–1797),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Horatio Brown,Q3786754,Q3786754,Person,[Validation] 威尼斯历史学家。,Horatio Brown,British historian (1854–1926),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Horses of Saint Mark,Q1994701,Q1994701,Work,[Category Fix] 原文误标为 Man-Made Object (可以接受，但更具体为 Work)。古代青铜马。,Horses of Saint Mark,"ancient bronze horses at the basilica of San Marco, Venice","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
House of Lords,,Q11007,Organization,英国上议院。,House of Lords,upper house in the Parliament of the United Kingdom,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
House of Representatives,,Q1112381,Organization,众议院。,House of Representatives,parliament of Cyprus,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Howard Hibbard,Q12020451,Q12020451,Person,[Validation] 艺术史学家 (Bernini/Caravaggio)。,Howard Hibbard,historian of Italian Baroque art (1928–1984),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Hugh Honour,Q3787443,Q3787443,Person,[Validation] 艺术史学家 (Neoclassicism/Venice)。,Hugh Honour,British art historian (1927–2016),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Hugh Percy,Q2616156,Q5932275,Person,"[Ambiguity] 可能是第一代或第二代诺森伯兰公爵。通常指 Hugh Percy, 1st Duke of Northumberland。",Hugh Percy,Bishop of Carlisle; Bishop of Rochester; British Anglican bishop,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
"Hugh Percy, 10th Duke of Northumberland",Q6017961,Q6017961,Person,[Context] 第十代公爵是现代人 (1953生)。如果出现在早期现代艺术书籍索引中，可能是误植 (应为 1st Duke) 或作为收藏所有者提及。,"Hugh Percy, 10th Duke of Northumberland",British peer (1914-1988),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Hugo Hantsch,,Q1635115,Person,本笃会修士/历史学家。,Hugo Hantsch,Austrian priest and historian (1895–1972),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Hugues-Humbert Servien,,,Person,"[OCR Fix] ""Abb谷"" -> ""Abbé""。Servien 家族成员，克莱门特九世的侍从。",,,No results found
Hyacinthe Rigaud,Q49898,Q49898,Person,[Validation] 法国画家。,Hyacinthe Rigaud,Catalan-French baroque painter (1659–1743),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Hélène Adhémar,Q67175437,Q67175437,Person,[Validation] 艺术史学家 (Watteau)。,Hélène Adhémar,French art historian and curator,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Ida Treat,Q105992732,Q105992732,Person,[Validation] 作家。,Ida Treat,American university teacher,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Idyll,,Q17324901,Work/Concept,[Validation] 文学/绘画体裁。,Idyll,painting by Narcisse Virgile Diaz de la Pe?a,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Ignazio Hugford,,Q3148241,Person,[Validation] 佛罗伦萨画家/收藏家。,Ignazio Hugford,Italian painter (1703-1778),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Il Frappatore,,Q55832511,Work,[Validation] 可能是戏剧或绘画作品名称。,Il frappatore,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Il Pomarancio,,Q382762,Person,"可指 Niccolò Circignani, Antonio Circignani 或 Cristoforo Roncalli。需结合语境。",Niccolò Circignani,Italian painter (1517–1597),"Medium Confidence - Score: 65.2 (Sim: 0.45, Cat: Match)"
Il filosofo inglese,Q60854085,Q60854085,Work,[Validation] 哥尔多尼的戏剧。,Il filosofo inglese,play by Carlo Goldoni,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Ilaria Toesca,Q56682847,Q56682847,Person,[Validation] 艺术史学家。,Ilaria Toesca,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Illustrated books,,Q123231132,Concept/Work,[Validation] 书籍类型。,Illustrated Books of Chinese Animals,,"Medium Confidence - Score: 64.2 (Sim: 0.64, Cat: Neutral)"
"Illustration for ""Newtonianismo per le dame""",,,Work,[Category Fix] 阿尔加罗蒂著作的封面插图。,,,No results found
Illustrations for De Bello Belgico,,,Work,[Validation] Famiano Strada 书籍的插图。,,,No results found
Illustrations for Latin Poems,,,Work,[Validation] 可能是 Barberini 的诗集插图。,,,No results found
Images of Palladian Architecture,,,Work,[Validation] 可能是书籍或版画集。,,,No results found
Imaginary Tomb of the Duke of Devonshire,Q19930515,Q19930515,Work,[Validation] Ricci/Pittoni 画作 (Tombeaux des Princes)。,Imaginary Tomb of the Duke of Devonshire,painting by Sebastiano Ricci,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Imago Primi Saeculi Societatis Jesu,,,Work,[Validation] 耶稣会书籍。,,,No results found
Indecency and the erotic,,Q4317392,Concept,[Validation] 艺术史议题。,Indecency,1992 film by Marisa Silver,Advanced Match via 'Indecency': Score 100.0 (Neutral)
Indecency in art,,,Concept,[Validation] 艺术史议题。,,,No results found
Influence of late 17th-century wars on art patronage,,,Concept,[Category Fix] 历史/艺术史概念。,,,No results found
Inigo Jones,Q295929,Q55006893,Person,[Validation] 英国建筑师。,Inigo Jones,portrait by Alexander Bannermann,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Innocent X,,Q101266,Person,[Disambiguation] 教皇英诺森十世。 | [Validation] 教皇。 | 教皇英诺森十世。,Innocent X,pope from 1644 to 1655,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Innocent XI,,Q101286,Person,教皇英诺森十一世（Odescalchi家族）。,Innocent XI,pope of the Catholic Church from 1676 to 1689,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Innocent XII,,Q132708,Person,[Validation] 教皇。 | 教皇英诺森十二世。,Innocent XII,pope of the Catholic Church from 1691 to 1700,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Innocent XIII,Q132708,Q133100,Person,[Disambiguation] 教皇英诺森十三世。 | [Validation] 教皇。,Innocent XIII,pope of the Catholic Church from 1721 to 1724,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Innocenzo (Artist/Person),,Q6495943,Person,[Ambiguity] 可能是 Innocenzo da Imola 或其他。需上下文。,Innocenzo,Wikipedia Page Match,Advanced Match via 'Innocenzo': Score 105.0 (Neutral)
Innocenzo della Lena,,Q132952617,Person,[Reconstruction] 威尼斯作家。,Innocenzo Della Lena,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Inquisitori di Stato,,Q748505,Organization,"[Category Fix] 威尼斯国家裁判官。 | [OCR Fix] ""Inquisiwri"" -> ""Inquisitori""。",Inquisitori di Stato,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Institutum Romanum Finlandiae,Q3799233,Q3799233,Organization,[Category Fix] 原文误标为 Place。芬兰罗马研究所 (Villa Lante)。,Institutum Romanum Finlandiae,academic institution in Italy,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Interior of Sant'Andrea al Quirinale,,,Work,[Validation] 画作/版画主题 (Panini等)。,,,No results found
